miRNA_ID,miRNA_location,PCG,PCG_embl,lncRNA_embl,Intragenic/Intergenic,PCG_exon/intron,lncRNA_exon/intron
hsa-miR-3165,chr11:72072228-72072302[-],NUMA1,ENSG00000137497,,Intragenic,intron,
hsa-miR-139,chr11:72615063-72615130[-],PDE2A,ENSG00000186642,,Intragenic,intron,
hsa-miR-4692,chr11:72783530-72783592[+],STARD10,ENSG00000214530,,Intragenic,intron,
hsa-miR-548al,chr11:74399237-74399333[+],,,ENSG00000255440,Intragenic,,intron
hsa-miR-4696,chr11:74720268-74720337[-],CHRDL2,ENSG00000054938,,Intragenic,intron,
hsa-miR-326,chr11:75335092-75335186[-],ARRB1,ENSG00000137486,,Intragenic,intron,
hsa-miR-708,chr11:79402022-79402109[-],TENM4,ENSG00000149256,,Intragenic,intron,
hsa-miR-5579,chr11:79422169-79422226[-],TENM4,ENSG00000149256,,Intragenic,intron,
hsa-miR-4300,chr11:81890741-81890836[-],,,ENSG00000245832,Intragenic,,intron
hsa-miR-6755,chr11:86278333-86278398[+],EED,ENSG00000074266,,Intragenic,exon,
hsa-miR-3166,chr11:88176502-88176593[+],,,,Intergenic,,
hsa-miR-4490,chr11:90555774-90555857[-],,,ENSG00000261645,Intragenic,,intron
hsa-miR-1261,chr11:90869121-90869202[-],,,ENSG00000261645,Intragenic,,intron
hsa-miR-1304,chr11:93733674-93733764[-],TAF1D,ENSG00000166012,,Intragenic,exon,
hsa-miR-548l,chr11:94466495-94466580[-],MRE11,ENSG00000020922,,Intragenic,intron,
hsa-miR-1260b,chr11:96341438-96341526[+],MAML2,ENSG00000184384,,Intragenic,exon,
hsa-miR-3920,chr11:101519820-101519905[-],TRPC6,ENSG00000137672,,Intragenic,intron,
hsa-miR-4693,chr11:103849906-103849980[+],,,ENSG00000254987,Intragenic,,intron
hsa-miR-4491,chr11:111347757-111347824[+],,,,Intergenic,,
hsa-miR-34b,chr11:111512938-111513021[+],BTG4,ENSG00000137707,ENSG00000286028,Intragenic,intron,exon
hsa-miR-34c,chr11:111513439-111513515[+],BTG4,ENSG00000137707,ENSG00000286028,Intragenic,intron,exon
hsa-miR-4301,chr11:113450023-113450088[-],DRD2,ENSG00000149295,,Intragenic,intron,
hsa-miR-6716,chr11:118644000-118644079[+],PHLDB1,ENSG00000019144,,Intragenic,exon,
hsa-miR-4492,chr11:118910708-118910787[+],BCL9L,ENSG00000186174,,Intragenic,exon,
hsa-miR-6756,chr11:119312950-119313012[-],MCAM,ENSG00000076706,,Intragenic,exon,
hsa-miR-125b-1,chr11:122099757-122099844[-],,,ENSG00000255248,Intragenic,,intron
hsa-let-7a-2,chr11:122146522-122146593[-],,,ENSG00000255248,Intragenic,,intron
hsa-miR-100,chr11:122152229-122152308[-],,,ENSG00000255248,Intragenic,,intron
hsa-miR-4493,chr11:123381440-123381512[-],GRAMD1B,ENSG00000023171,,Intragenic,intron,
hsa-miR-3167,chr11:126988458-126988542[-],KIRREL3,ENSG00000149571,,Intragenic,intron,
hsa-miR-6090,chr11:128522390-128522449[+],ETS1,ENSG00000134954,,Intragenic,intron,
hsa-miR-8052,chr11:130666735-130666803[+],,,,Intergenic,,
hsa-miR-4697,chr11:133898504-133898581[-],IGSF9B,ENSG00000080854,,Intragenic,exon,
hsa-miR-3649,chr12:1660315-1660380[-],,,ENSG00000289832,Intragenic,,intron
hsa-miR-200c,chr12:6963699-6963766[+],,,ENSG00000257084,Intragenic,,intron
hsa-miR-141,chr12:6964097-6964191[+],,,ENSG00000257084,Intragenic,,intron
hsa-miR-1244-3,chr12:9239467-9239551[-],,,,Intergenic,,
hsa-miR-1244-4,chr12:12111952-12112036[+],BCL2L14,ENSG00000121380,,Intragenic,intron,
hsa-miR-613,chr12:12764649-12764743[+],APOLD1,ENSG00000178878,,Intragenic,intron,
hsa-miR-614,chr12:12915829-12915918[+],GPRC5A,ENSG00000013588,,Intragenic,exon,
hsa-miR-3974,chr12:17673299-17673394[+],,,ENSG00000256389,Intragenic,,intron
hsa-miR-920,chr12:24212421-24212495[+],SOX5,ENSG00000134532,,Intragenic,intron,
hsa-miR-4302,chr12:25874020-25874079[-],,,,Intergenic,,
hsa-miR-7851,chr12:42323700-42323859[-],ZCRB1,ENSG00000139168,,Intragenic,exon,
hsa-miR-4698,chr12:47187812-47187891[+],PCED1B,ENSG00000179715,,Intragenic,intron,
hsa-miR-4494,chr12:47364186-47364269[-],,,ENSG00000257924,Intragenic,,intron
hsa-miR-6505,chr12:48132797-48132867[+],PFKM,ENSG00000152556,,Intragenic,intron,
hsa-miR-1291,chr12:48654444-48654530[-],KANSL2,ENSG00000139620,,Intragenic,intron,
hsa-miR-4701,chr12:48771975-48772037[-],ADCY6,ENSG00000174233,,Intragenic,intron,
hsa-miR-1293,chr12:50234142-50234212[-],LIMA1,ENSG00000050405,,Intragenic,intron,
hsa-miR-6757,chr12:53056944-53057012[+],TNS2,ENSG00000111077,,Intragenic,intron,
hsa-miR-196a-2,chr12:53991738-53991847[+],HOXC6,ENSG00000197757,,Intragenic,intron,
hsa-miR-615,chr12:54033950-54034045[+],HOXC4,ENSG00000198353,ENSG00000273046,Intragenic,intron,intron
hsa-miR-3198-2,chr12:54231397-54231476[-],CBX5,ENSG00000094916,,Intragenic,exon,
hsa-miR-148b,chr12:54337216-54337314[+],COPZ1,ENSG00000111481,ENSG00000258344,Intragenic,intron,intron
hsa-miR-1228,chr12:57194504-57194576[+],LRP1,ENSG00000123384,,Intragenic,intron,
hsa-miR-6758,chr12:57512688-57512750[+],MARS1,ENSG00000166986,,Intragenic,exon,
hsa-miR-616,chr12:57519163-57519259[-],DDIT3,ENSG00000175197,,Intragenic,intron,
hsa-miR-6759,chr12:57748618-57748682[-],TSPAN31,ENSG00000135452,,Intragenic,exon,
hsa-miR-26a-2,chr12:57824609-57824692[-],CTDSP2,ENSG00000175215,,Intragenic,intron,
hsa-miR-6125,chr12:62260359-62260454[+],USP15,ENSG00000135655,,Intragenic,intron,
hsa-let-7i,chr12:62603686-62603769[+],,,ENSG00000275180,Intragenic,,exon
hsa-miR-548c,chr12:64622509-64622605[+],RASSF3,ENSG00000153179,,Intragenic,intron,
hsa-miR-548z,chr12:64622509-64622605[-],RASSF3,ENSG00000153179,,Intragenic,intron,
hsa-miR-548c,chr12:64622509-64622605[+],RASSF3,ENSG00000153179,,Intragenic,intron,
hsa-miR-548z,chr12:64622509-64622605[-],RASSF3,ENSG00000153179,,Intragenic,intron,
hsa-miR-6074,chr12:66023620-66023726[-],,,,Intergenic,,
hsa-miR-6502,chr12:66251082-66251157[+],IRAK3,ENSG00000090376,,Intragenic,exon,
hsa-miR-1279,chr12:69273157-69273218[-],CPSF6,ENSG00000111605,,Intragenic,intron,
hsa-miR-3913-1,chr12:69584722-69584823[-],,,,Intergenic,,
hsa-miR-3913-2,chr12:69584723-69584822[+],,,,Intergenic,,
hsa-miR-1252,chr12:79419257-79419321[+],SYT1,ENSG00000067715,ENSG00000257894,Intragenic,intron,intron
hsa-miR-617,chr12:80832533-80832629[-],LIN7A,ENSG00000111052,,Intragenic,intron,
hsa-miR-618,chr12:80935736-80935833[-],LIN7A,ENSG00000111052,,Intragenic,intron,
hsa-miR-4699,chr12:81158388-81158461[+],ACSS3,ENSG00000111058,,Intragenic,intron,
hsa-miR-5700,chr12:94561789-94561859[+],,,,Intergenic,,
hsa-miR-7844,chr12:94571231-94571352[-],TMCC3,ENSG00000057704,,Intragenic,exon,
hsa-miR-492,chr12:94834398-94834513[+],,,,Intergenic,,
hsa-miR-331,chr12:95308420-95308513[+],,,,Intergenic,,
hsa-miR-3685,chr12:95309923-95309984[+],,,,Intergenic,,
hsa-miR-1251,chr12:97491909-97491978[+],,,ENSG00000255794,Intragenic,,intron
hsa-miR-135a-2,chr12:97563812-97563911[+],,,ENSG00000255794,Intragenic,,intron
hsa-miR-4495,chr12:97939056-97939121[-],,,,Intergenic,,
hsa-miR-4303,chr12:97995383-97995448[-],,,,Intergenic,,
hsa-miR-1827,chr12:100189884-100189949[+],,,ENSG00000290576,Intragenic,,intron
hsa-miR-3652,chr12:103930425-103930555[+],HSP90B1,ENSG00000166598,,Intragenic,exon,
hsa-miR-3922,chr12:104591633-104591716[+],CHST11,ENSG00000171310,,Intragenic,intron,
hsa-miR-4496,chr12:108635810-108635870[+],,,ENSG00000257221,Intragenic,,exon
hsa-miR-619,chr12:108836908-108837006[-],SSH1,ENSG00000084112,,Intragenic,intron,
hsa-miR-4497,chr12:109833348-109833436[+],TRPV4,ENSG00000111199,,Intragenic,exon,
hsa-miR-6760,chr12:111304142-111304209[+],CUX2,ENSG00000111249,,Intragenic,intron,
hsa-miR-6761,chr12:111799834-111799905[+],ALDH2,ENSG00000111275,,Intragenic,intron,
hsa-miR-3657,chr12:112037599-112037715[-],NAA25,ENSG00000111300,,Intragenic,intron,
hsa-miR-6861,chr12:112163258-112163321[-],HECTD4,ENSG00000173064,,Intragenic,exon,
hsa-miR-1302-1,chr12:112695034-112695176[-],RPH3A,ENSG00000089169,,Intragenic,intron,
hsa-miR-7106,chr12:113159113-113159177[-],CFAP73,ENSG00000186710,,Intragenic,exon,
hsa-miR-6762,chr12:113291523-113291608[+],TPCN1,ENSG00000186815,,Intragenic,intron,
hsa-miR-620,chr12:116148560-116148654[-],MED13L,ENSG00000123066,,Intragenic,intron,
hsa-miR-4472-2,chr12:116428252-116428318[-],,,,Intergenic,,
hsa-miR-1178,chr12:119713634-119713724[-],CIT,ENSG00000122966,,Intragenic,exon,
hsa-miR-4498,chr12:120155434-120155499[-],GCN1,ENSG00000089154,,Intragenic,intron,
hsa-miR-4700,chr12:120723193-120723266[+],UNC119B,ENSG00000175970,ENSG00000256569,Intragenic,exon,intron
hsa-miR-7107,chr12:121444273-121444352[-],KDM2B,ENSG00000089094,,Intragenic,intron,
hsa-miR-4304,chr12:123010667-123010728[-],PITPNM2,ENSG00000090975,,Intragenic,intron,
hsa-miR-8072,chr12:123364764-123364843[-],SBNO1,ENSG00000139697,ENSG00000256092,Intragenic,exon,exon
hsa-miR-3908,chr12:123536409-123536534[+],,,,Intergenic,,
hsa-miR-6880,chr12:124337181-124337242[-],NCOR2,ENSG00000196498,,Intragenic,intron,
hsa-miR-5188,chr12:124915547-124915659[+],UBC,ENSG00000150991,,Intragenic,intron,
hsa-miR-3612,chr12:128294092-128294178[+],TMEM132C,ENSG00000181234,,Intragenic,intron,
hsa-miR-6763,chr12:132581997-132582061[+],FBRSL1,ENSG00000112787,,Intragenic,intron,
hsa-miR-4499,chr13:20433778-20433846[-],CRYL1,ENSG00000165475,,Intragenic,intron,
hsa-miR-2276,chr13:24162416-24162504[+],SPATA13,ENSG00000182957,,Intragenic,intron,
hsa-miR-4305,chr13:39664034-39664135[-],COG6,ENSG00000133103,,Intragenic,intron,
hsa-miR-621,chr13:40810766-40810861[+],SLC25A15,ENSG00000102743,,Intragenic,intron,
hsa-miR-3168,chr13:41101019-41101100[-],,,,Intergenic,,
hsa-miR-5006,chr13:41568286-41568395[-],VWA8,ENSG00000102763,ENSG00000288598,Intragenic,intron,intron
hsa-miR-8079,chr13:44196129-44196200[-],,,ENSG00000276854,Intragenic,,intron
hsa-miR-3613,chr13:49996415-49996501[-],TRIM13,ENSG00000204977,ENSG00000231607,Intragenic,intron,intron
hsa-miR-16-1,chr13:50048973-50049061[-],,,ENSG00000231607,Intragenic,,intron
hsa-miR-15a,chr13:50049119-50049201[-],,,ENSG00000231607,Intragenic,,intron
hsa-miR-5693,chr13:51348567-51348639[-],SERPINE3,ENSG00000253309,,Intragenic,intron,
hsa-miR-4703,chr13:51552589-51552667[+],,,ENSG00000236778,Intragenic,,intron
hsa-miR-759,chr13:52810050-52810140[+],,,,Intergenic,,
hsa-miR-1297,chr13:54311972-54312048[-],,,,Intergenic,,
hsa-miR-5007,chr13:55174454-55174548[+],,,,Intergenic,,
hsa-miR-3169,chr13:61199798-61199880[-],,,,Intergenic,,
hsa-miR-548x-2,chr13:65966330-65966429[-],,,ENSG00000286395,Intragenic,,intron
hsa-miR-4704,chr13:66218250-66218324[+],,,,Intergenic,,
hsa-miR-3665,chr13:77698012-77698116[-],SLAIN1,ENSG00000139737,,Intragenic,intron,
hsa-miR-4500,chr13:87618665-87618740[-],,,ENSG00000228824,Intragenic,,intron
hsa-miR-622,chr13:90231182-90231277[+],,,,Intergenic,,
hsa-miR-17,chr13:91350605-91350688[+],,,ENSG00000215417,Intragenic,,intron
hsa-miR-18a,chr13:91350751-91350821[+],,,ENSG00000215417,Intragenic,,intron
hsa-miR-19a,chr13:91350891-91350972[+],,,ENSG00000215417,Intragenic,,intron
hsa-miR-20a,chr13:91351065-91351135[+],,,ENSG00000215417,Intragenic,,intron
hsa-miR-19b-1,chr13:91351192-91351278[+],,,ENSG00000215417,Intragenic,,intron
hsa-miR-92a-1,chr13:91351314-91351391[+],,,ENSG00000215417,Intragenic,,intron
hsa-miR-548as,chr13:92490163-92490220[+],GPC5,ENSG00000179399,ENSG00000236240,Intragenic,intron,intron
hsa-miR-4501,chr13:96427229-96427292[+],HS6ST3,ENSG00000185352,,Intragenic,intron,
hsa-miR-3170,chr13:98208524-98208600[+],FARP1,ENSG00000152767,,Intragenic,intron,
hsa-miR-623,chr13:99356131-99356228[+],UBAC2,ENSG00000134882,,Intragenic,intron,
hsa-miR-4306,chr13:99643059-99643149[+],CLYBL,ENSG00000125246,,Intragenic,intron,
hsa-miR-2681,chr13:101967642-101967746[-],FGF14,ENSG00000102466,,Intragenic,intron,
hsa-miR-4705,chr13:102045934-102046004[-],FGF14,ENSG00000102466,,Intragenic,intron,
hsa-miR-1267,chr13:107531171-107531248[-],NALF1,ENSG00000204442,,Intragenic,intron,
hsa-miR-8073,chr13:110340958-110341029[+],COL4A2,ENSG00000134871,,Intragenic,intron,
hsa-miR-8075,chr13:113262920-113262999[+],CUL4A,ENSG00000139842,,Intragenic,intron,
hsa-miR-548ar,chr13:114244505-114244561[+],CDC16,ENSG00000130177,,Intragenic,intron,
hsa-miR-4502,chr13:114273828-114273908[+],,,,Intergenic,,
hsa-miR-6717,chr14:21023314-21023386[-],NDRG2,ENSG00000165795,,Intragenic,exon,
hsa-miR-4707,chr14:22956950-22957029[-],HAUS4,ENSG00000092036,,Intragenic,exon,
hsa-miR-208a,chr14:23388596-23388666[-],MYH6,ENSG00000197616,,Intragenic,intron,
hsa-miR-208b,chr14:23417987-23418063[-],MYH7,ENSG00000092054,,Intragenic,intron,
hsa-miR-7703,chr14:24143489-24143565[-],PSME2,ENSG00000100911,,Intragenic,exon,
hsa-miR-4307,chr14:26908642-26908725[+],,,ENSG00000257612,Intragenic,,intron
hsa-miR-3171,chr14:27633205-27633278[-],,,ENSG00000258548,Intragenic,,intron
hsa-miR-624,chr14:31014646-31014742[-],STRN3,ENSG00000196792,,Intragenic,intron,
hsa-miR-4503,chr14:36952309-36952391[-],SLC25A21,ENSG00000183032,,Intragenic,intron,
hsa-miR-548y,chr14:47760995-47761104[-],,,,Intergenic,,
hsa-miR-6076,chr14:49966399-49966511[+],,,ENSG00000214900,Intragenic,,intron
hsa-miR-4504,chr14:50299855-50299946[-],L2HGDH,ENSG00000087299,,Intragenic,intron,
hsa-miR-5580,chr14:53948427-53948484[-],,,,Intergenic,,
hsa-miR-4308,chr14:54878113-54878193[-],GCH1,ENSG00000131979,,Intragenic,intron,
hsa-miR-5586,chr14:59646962-59647020[-],RTN1,ENSG00000139970,,Intragenic,intron,
hsa-miR-548h-1,chr14:64095024-64095125[-],ESR2,ENSG00000140009,,Intragenic,intron,
hsa-miR-7855,chr14:64785626-64785686[-],SPTB,ENSG00000070182,,Intragenic,exon,
hsa-miR-4706,chr14:65044688-65044769[+],CHURC1-FNTB,ENSG00000125954,,Intragenic,intron,
hsa-miR-4708,chr14:65335117-65335183[-],,,,Intergenic,,
hsa-miR-625,chr14:65471102-65471186[+],FUT8,ENSG00000033170,,Intragenic,intron,
hsa-miR-5694,chr14:67441855-67441930[-],,,,Intergenic,,
hsa-miR-7843,chr14:72516820-72516898[+],RGS6,ENSG00000182732,ENSG00000286333,Intragenic,intron,exon
hsa-miR-4505,chr14:73758747-73758819[+],MIDEAS,ENSG00000156030,,Intragenic,intron,
hsa-miR-4709,chr14:74480133-74480204[-],NPC2,ENSG00000119655,,Intragenic,intron,
hsa-miR-1260a,chr14:77266218-77266290[+],NGB,ENSG00000165553,,Intragenic,exon,
hsa-miR-4506,chr14:93948226-93948302[-],ASB2,ENSG00000100628,,Intragenic,intron,
hsa-miR-3173,chr14:95137919-95137986[-],DICER1,ENSG00000100697,,Intragenic,intron,
hsa-miR-151b,chr14:100109419-100109514[-],EVL,ENSG00000196405,,Intragenic,intron,
hsa-miR-342,chr14:100109655-100109753[+],EVL,ENSG00000196405,,Intragenic,intron,
hsa-miR-6764,chr14:100277357-100277417[+],YY1,ENSG00000100811,,Intragenic,exon,
hsa-miR-345,chr14:100307859-100307956[+],,,,Intergenic,,
hsa-miR-2392,chr14:100814491-100814574[+],,,ENSG00000214548,Intragenic,,intron
hsa-miR-770,chr14:100852390-100852487[+],,,ENSG00000258663,Intragenic,,intron
hsa-miR-493,chr14:100869060-100869148[+],,,ENSG00000258399,Intragenic,,intron
hsa-miR-337,chr14:100874493-100874585[+],,,ENSG00000258399,Intragenic,,intron
hsa-miR-665,chr14:100875033-100875104[+],,,ENSG00000258399,Intragenic,,intron
hsa-miR-431,chr14:100881007-100881120[+],RTL1,ENSG00000254656,ENSG00000258399,Intragenic,exon,intron
hsa-miR-433,chr14:100881886-100881978[+],RTL1,ENSG00000254656,ENSG00000258399,Intragenic,exon,intron
hsa-miR-127,chr14:100882979-100883075[+],RTL1,ENSG00000254656,ENSG00000258399,Intragenic,exon,intron
hsa-miR-432,chr14:100884483-100884576[+],RTL1,ENSG00000254656,ENSG00000258399,Intragenic,exon,intron
hsa-miR-136,chr14:100884702-100884783[+],RTL1,ENSG00000254656,ENSG00000258399,Intragenic,exon,intron
hsa-miR-370,chr14:100911139-100911213[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-379,chr14:101022066-101022132[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-411,chr14:101023325-101023420[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-299,chr14:101023794-101023856[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-380,chr14:101025017-101025077[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-1197,chr14:101025564-101025651[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-323a,chr14:101025732-101025817[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-758,chr14:101026020-101026107[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-329-1,chr14:101026785-101026864[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-329-2,chr14:101027100-101027183[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-494,chr14:101029634-101029714[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-1193,chr14:101030052-101030129[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-543,chr14:101031987-101032064[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-495,chr14:101033755-101033836[+],,,ENSG00000225746,Intragenic,,intron
hsa-miR-376c,chr14:101039690-101039755[+],,,,Intergenic,,
hsa-miR-376a-2,chr14:101040069-101040148[+],,,,Intergenic,,
hsa-miR-654,chr14:101040219-101040299[+],,,,Intergenic,,
hsa-miR-376b,chr14:101040436-101040535[+],,,,Intergenic,,
hsa-miR-376a-1,chr14:101040782-101040849[+],,,,Intergenic,,
hsa-miR-300,chr14:101041363-101041445[+],,,,Intergenic,,
hsa-miR-1185-1,chr14:101042977-101043062[+],,,ENSG00000223403,Intragenic,,exon
hsa-miR-1185-2,chr14:101044198-101044283[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-381,chr14:101045920-101045994[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-487b,chr14:101046455-101046538[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-539,chr14:101047321-101047398[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-889,chr14:101047901-101047979[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-544a,chr14:101048658-101048748[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-655,chr14:101049550-101049646[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-487a,chr14:101052446-101052525[+],,,ENSG00000223403,Intragenic,,exon
hsa-miR-382,chr14:101054306-101054381[+],,,ENSG00000223403,Intragenic,,exon
hsa-miR-134,chr14:101054687-101054759[+],,,ENSG00000223403,Intragenic,,exon
hsa-miR-668,chr14:101055258-101055323[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-485,chr14:101055419-101055491[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-323b,chr14:101056219-101056300[+],,,ENSG00000223403,Intragenic,,exon
hsa-miR-154,chr14:101059755-101059838[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-496,chr14:101060573-101060674[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-377,chr14:101062050-101062118[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-541,chr14:101064495-101064578[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-409,chr14:101065300-101065378[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-412,chr14:101065447-101065537[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-369,chr14:101065598-101065667[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-410,chr14:101065912-101065991[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-656,chr14:101066724-101066801[+],,,ENSG00000223403,Intragenic,,intron
hsa-miR-1247,chr14:101560287-101560422[-],DIO3,ENSG00000197406,ENSG00000258498,Intragenic,intron,exon
hsa-miR-4309,chr14:102539644-102539726[+],,,,Intergenic,,
hsa-miR-203a,chr14:104117405-104117514[+],,,,Intergenic,,
hsa-miR-203b,chr14:104117418-104117503[-],,,,Intergenic,,
hsa-miR-4710,chr14:104677694-104677749[-],,,,Intergenic,,
hsa-miR-6765,chr14:105150778-105150864[-],JAG2,ENSG00000184916,,Intragenic,intron,
hsa-miR-8071-1,chr14:105621116-105621180[+],IGHG4,ENSG00000211892,,Intragenic,intron,
hsa-miR-8071-2,chr14:105640168-105640232[+],IGHG2,ENSG00000211893,,Intragenic,intron,
hsa-miR-4539,chr14:105857513-105857572[-],,,,Intergenic,,
hsa-miR-4507,chr14:105858124-105858175[-],,,,Intergenic,,
hsa-miR-4538,chr14:105858165-105858242[-],,,,Intergenic,,
hsa-miR-4537,chr14:105859484-105859553[-],,,,Intergenic,,
hsa-miR-5195,chr14:106850885-106850999[-],,,,Intergenic,,
hsa-miR-3118-2,chr15:20832795-20832869[+],,,,Intergenic,,
hsa-miR-5701-1,chr15:20940252-20940333[+],,,,Intergenic,,
hsa-miR-3118-3,chr15:21406385-21406459[+],POTEB3,ENSG00000278522,,Intragenic,exon,
hsa-miR-5701-2,chr15:21513959-21514040[+],,,,Intergenic,,
hsa-miR-3118-4,chr15:21843750-21843824[+],,,,Intergenic,,
hsa-miR-5701-3,chr15:21951242-21951323[+],,,,Intergenic,,
hsa-miR-1268a,chr15:22225278-22225329[-],,,,Intergenic,,
hsa-miR-4509-1,chr15:23197827-23197920[+],,,,Intergenic,,
hsa-miR-4508,chr15:23562062-23562131[-],,,,Intergenic,,
hsa-miR-4715,chr15:25848747-25848825[-],ATP10A,ENSG00000206190,,Intragenic,intron,
hsa-miR-4509-2,chr15:28426491-28426584[+],,,,Intergenic,,
hsa-miR-4509-3,chr15:28490752-28490845[-],,,,Intergenic,,
hsa-miR-211,chr15:31065032-31065141[-],TRPM1,ENSG00000134160,,Intragenic,intron,
hsa-miR-1233-1,chr15:34382069-34382150[-],GOLGA8A,ENSG00000175265,,Intragenic,intron,
hsa-miR-1233-2,chr15:34528290-34528371[-],GOLGA8B,ENSG00000215252,,Intragenic,intron,
hsa-miR-3942,chr15:35372256-35372364[-],DPH6,ENSG00000134146,,Intragenic,intron,
hsa-miR-4510,chr15:35926856-35926923[+],,,ENSG00000259245,Intragenic,,intron
hsa-miR-8063,chr15:36972821-36972901[-],MEIS2,ENSG00000134138,,Intragenic,intron,
hsa-miR-626,chr15:41691585-41691678[+],MGA,ENSG00000174197,,Intragenic,intron,
hsa-miR-4310,chr15:41866495-41866551[-],SPTBN5,ENSG00000137877,,Intragenic,intron,
hsa-miR-627,chr15:42199570-42199666[-],VPS39,ENSG00000166887,,Intragenic,intron,
hsa-miR-1282,chr15:43793659-43793759[-],SERF2,ENSG00000140264,,Intragenic,exon,
hsa-miR-147b,chr15:45433050-45433129[+],C15orf48,ENSG00000166920,ENSG00000259342,Intragenic,exon,intron
hsa-miR-4716,chr15:49169070-49169153[-],GALK2,ENSG00000156958,,Intragenic,intron,
hsa-miR-4712,chr15:50360329-50360410[+],,,ENSG00000244879,Intragenic,,exon
hsa-miR-4713,chr15:51242190-51242264[+],CYP19A1,ENSG00000137869,ENSG00000259240,Intragenic,intron,intron
hsa-miR-7973-2,chr15:51314032-51314107[-],CYP19A1,ENSG00000137869,,Intragenic,intron,
hsa-miR-7973-1,chr15:51314034-51314109[+],CYP19A1,ENSG00000137869,,Intragenic,intron,
hsa-miR-1266,chr15:52277117-52277200[-],MYO5C,ENSG00000128833,,Intragenic,intron,
hsa-miR-628,chr15:55372940-55373034[-],CCPG1,ENSG00000260916,ENSG00000261771,Intragenic,exon,intron
hsa-miR-2116,chr15:59171183-59171262[-],MYO1E,ENSG00000157483,,Intragenic,intron,
hsa-miR-8067,chr15:62304658-62304734[-],,,,Intergenic,,
hsa-miR-6085,chr15:62343029-62343138[+],,,,Intergenic,,
hsa-miR-190a,chr15:62823957-62824041[+],TLN2,ENSG00000171914,,Intragenic,intron,
hsa-miR-422a,chr15:63870930-63871019[-],,,,Intergenic,,
hsa-miR-1272,chr15:64762387-64762515[-],RBPMS2,ENSG00000166831,,Intragenic,intron,
hsa-miR-4511,chr15:65719246-65719332[-],DENND4A,ENSG00000174485,,Intragenic,intron,
hsa-miR-4311,chr15:66040233-66040332[+],MEGF11,ENSG00000157890,,Intragenic,intron,
hsa-miR-4512,chr15:66496958-66497034[-],SNAPC5,ENSG00000174446,,Intragenic,intron,
hsa-miR-4312,chr15:68801850-68801925[-],ANP32A,ENSG00000140350,,Intragenic,intron,
hsa-miR-629,chr15:70079372-70079468[-],TLE3,ENSG00000140332,,Intragenic,intron,
hsa-miR-630,chr15:72587217-72587313[+],ARIH1,ENSG00000166233,,Intragenic,intron,
hsa-miR-6881,chr15:74411357-74411432[-],SEMA7A,ENSG00000138623,,Intragenic,intron,
hsa-miR-4513,chr15:74788672-74788757[-],CSK,ENSG00000103653,,Intragenic,intron,
hsa-miR-6882,chr15:74840642-74840707[-],ULK3,ENSG00000140474,,Intragenic,intron,
hsa-miR-631,chr15:75353611-75353685[-],NEIL1,ENSG00000140398,,Intragenic,exon,
hsa-miR-4313,chr15:75762215-75762315[-],,,ENSG00000261043,Intragenic,,exon
hsa-miR-3713,chr15:76586647-76586691[+],SCAPER,ENSG00000140386,,Intragenic,intron,
hsa-miR-184,chr15:79209788-79209871[+],,,ENSG00000259234,Intragenic,,intron
hsa-miR-5572,chr15:80581103-80581239[+],ARNT2,ENSG00000172379,,Intragenic,intron,
hsa-miR-549a,chr15:80841978-80842073[-],CEMIP,ENSG00000103888,,Intragenic,intron,
hsa-miR-4514,chr15:80997417-80997473[-],,,,Intergenic,,
hsa-miR-4515,chr15:83067335-83067415[+],,,ENSG00000260351,Intragenic,,intron
hsa-miR-7706,chr15:85380596-85380662[+],AKAP13,ENSG00000170776,,Intragenic,exon,
