miRNet_id,miRBase_acc,miRNA_ID,epi_regulator,epi_modification,miRNA_expression,PMID,epi_target,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
mirnet-hsaepi-0300,MIMAT0000446,hsa-mir-127-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0301,MIMAT0000753,hsa-mir-342-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0302,MIMAT0002833,hsa-mir-520a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0303,MIMAT0000226,hsa-mir-196a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0304,MI0003156,hsa-mir-518b,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0305,MIMAT0000441,hsa-mir-9-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0306,MI0000811,hsa-mir-148b,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0307,MI0003161,hsa-mir-517a,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0308,MIMAT0000088,hsa-mir-30a-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0309,MI0003162,hsa-mir-519d,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0310,MI0000266,hsa-mir-10a,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0311,MI0000440,hsa-mir-27b,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0312,MI0003577,hsa-mir-570,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0313,MIMAT0004605,hsa-mir-129-2-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0314,MIMAT0000071,hsa-mir-17-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0315,MI0000089,hsa-mir-31,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0316,MI0005559,hsa-mir-744,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0317,MI0000283,hsa-mir-203a,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0318,MI0001448,hsa-mir-425,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0319,MIMAT0004677,hsa-mir-34c-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0320,MIMAT0000686,hsa-mir-34c-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0321,MIMAT0004604,hsa-mir-127-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0322,MI0000481,hsa-mir-184,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0323,MI0000778,hsa-mir-370,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0324,MIMAT0004770,hsa-mir-516a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0325,MI0000786,hsa-mir-378a,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0326,MIMAT0002863,hsa-mir-518a-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0327,MIMAT0000428,hsa-mir-135a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0328,MIMAT0002839,hsa-mir-525-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0329,MIMAT0004924,hsa-mir-876-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0330,MI0000479,hsa-mir-150,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0331,MI0000284,hsa-mir-204,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0332,MIMAT0003323,hsa-mir-548d-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0333,MIMAT0004498,hsa-mir-25-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0334,MIMAT0004804,hsa-mir-615-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0335,MIMAT0004613,hsa-mir-188-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0336,MIMAT0004673,hsa-mir-29c-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0337,MIMAT0002173,hsa-mir-483-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0338,MI0005567,hsa-mir-760,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0339,MIMAT0004614,hsa-mir-193a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0340,MIMAT0000242,hsa-mir-129-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0341,MI0001150,hsa-mir-196b,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0342,MI0000299,hsa-mir-222,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0343,MIMAT0004552,hsa-mir-139-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0344,MIMAT0000231,hsa-mir-199a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0345,MIMAT0004597,hsa-mir-140-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0346,MI0000775,hsa-mir-367,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0347,MIMAT0002849,hsa-mir-524-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0348,MIMAT0000446,hsa-mir-127-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0349,MIMAT0000753,hsa-mir-342-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0350,MIMAT0002833,hsa-mir-520a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0351,MIMAT0000226,hsa-mir-196a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0352,MI0003156,hsa-mir-518b,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0353,MIMAT0000441,hsa-mir-9-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0354,MI0000811,hsa-mir-148b,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0355,MI0003161,hsa-mir-517a,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0356,MIMAT0000088,hsa-hsa-mir-30a-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0357,MI0003162,hsa-mir-519d,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0358,MI0000266,hsa-mir-10a,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0359,MI0000440,hsa-mir-27b,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0360,MI0003577,hsa-mir-570,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0361,MIMAT0004605,hsa-mir-129-2-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0362,MIMAT0000071,hsa-hsa-mir-17-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0363,MI0000089,hsa-mir-31,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0364,MI0005559,hsa-mir-744,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0365,MI0000283,hsa-mir-203a,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0366,MI0001448,hsa-mir-425,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0367,MIMAT0004677,hsa-mir-34c-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0368,MIMAT0000686,hsa-mir-34c-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0369,MIMAT0004604,hsa-mir-127-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0370,MI0000481,hsa-mir-184,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0371,MI0000778,hsa-mir-370,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0372,MIMAT0004770,hsa-mir-516a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0373,MI0000786,hsa-mir-378a,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0374,MIMAT0002863,hsa-mir-518a-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0375,MIMAT0000428,hsa-mir-135a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0376,MIMAT0002839,hsa-mir-525-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0377,MIMAT0004924,hsa-mir-876-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0378,MI0000479,hsa-mir-150,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0379,MI0000284,hsa-mir-204,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0380,MIMAT0003323,hsa-mir-548d-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0381,MIMAT0004498,hsa-hsa-mir-25-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0382,MIMAT0004804,hsa-mir-615-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0383,MIMAT0004613,hsa-mir-188-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0384,MIMAT0004673,hsa-hsa-mir-29c-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0385,MIMAT0002173,hsa-mir-483-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0386,MI0005567,hsa-mir-760,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0387,MIMAT0004614,hsa-mir-193a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0388,MIMAT0000242,hsa-mir-129-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0389,MI0001150,hsa-mir-196b,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0390,MI0000299,hsa-mir-222,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0391,MIMAT0004552,hsa-mir-139-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0392,MIMAT0000231,hsa-mir-199a-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0393,MIMAT0004597,hsa-mir-140-3p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0394,MI0000775,hsa-mir-367,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0395,MIMAT0002849,hsa-mir-524-5p,DNMTs,DNA Methylation,DOWN,19923923,,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0396,MI0000466,hsa-mir-9-1,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0397,MI0000467,hsa-mir-9-2,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0398,MI0000468,hsa-mir-9-3,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0399,MI0000085,hsa-mir-27a,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0400,MI0000090,hsa-mir-32,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0401,MI0000091,hsa-mir-33a,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0402,MI0000268,hsa-mir-34a,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0403,MI0000449,hsa-mir-132,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0404,MI0000478,hsa-mir-149,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0405,MI0000273,hsa-mir-183,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0406,MI0000484,hsa-mir-188,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0407,MI0000234,hsa-mir-192,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0408,MI0003137,hsa-mir-193b,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0409,MI0000488,hsa-mir-194-1,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0410,MI0000732,hsa-mir-194-2,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0411,MI0000283,hsa-mir-203a,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0412,MI0000291,hsa-mir-215,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0413,MI0000294,hsa-mir-218-1,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0414,MI0000295,hsa-mir-218-2,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0415,MI0000778,hsa-mir-370,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0416,MI0000783,hsa-mir-375,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0417,MI0000784,hsa-mir-376a-1,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0418,MI0003529,hsa-mir-376a-2,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0419,MI0001648,hsa-mir-449a,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0420,MI0003530,hsa-mir-487b,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0421,MI0003140,hsa-mir-512-1,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0422,MI0003141,hsa-mir-512-2,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0423,MI0003191,hsa-mir-513a-1,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0424,MI0003192,hsa-mir-513a-2,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0425,MI0003144,hsa-mir-515-1,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0426,MI0003147,hsa-mir-515-2,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0427,MI0003161,hsa-mir-517a,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0428,MI0003165,hsa-mir-517b,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0429,MI0003174,hsa-mir-517c,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0430,MI0003156,hsa-mir-518b,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0431,MI0003146,hsa-mir-520f,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0432,MI0003157,hsa-mir-526a-1,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0433,MI0003168,hsa-mir-526a-2,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0434,MI0003579,hsa-mir-572,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0435,MI0003614,hsa-mir-601,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0436,MI0003643,hsa-mir-629,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0437,MI0003644,hsa-mir-630,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0438,MI0003653,hsa-mir-638,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0439,MI0003672,hsa-mir-663a,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0440,MI0005116,hsa-mir-765,DNMTs,DNA Methylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0441,MI0003137,hsa-mir-193b,DNMTs,DNA Methylation,UP,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0442,MI0003137,hsa-mir-193b,HDACs,Histone Acetylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0443,MI0000466,hsa-mir-9-1,HDACs,Histone Acetylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0444,MI0000467,hsa-mir-9-2,HDACs,Histone Acetylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0445,MI0000468,hsa-mir-9-3,HDACs,Histone Acetylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0446,MI0000085,hsa-mir-27a,HDACs,Histone Acetylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
mirnet-hsaepi-0447,MI0000090,hsa-mir-32,HDACs,Histone Acetylation,DOWN,20073067,,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
