miRNA_ID,miRNA_expression,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-mir-155,UP,laryngeal squamous cell carcinoma,D000077195,DOID_2876,"Cancer, Integumentary System, Cells",carcinoma,laryngeal squamous cell
hsa-mir-155,UP,liver cancer,D008113,DOID_3571,"Cancer, Digestive & Gastrointestinal Conditions",liver cancer,
hsa-mir-155,UP,lung adenocarcinoma,D000077192,DOID_3910,"Cancer, Respiratory Conditions",adenocarcinoma,lung
hsa-mir-155,UP,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-155,UP,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-155,UP,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-155,DOWN,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-155,DOWN,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-155,UP,malt lymphoma,D018442,DOID_0050909,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,malt
hsa-mir-155,UP,mantle cell lymphoma,D020522,DOID_0050746,"Cancer, Hematopoietic & Lymphatic Conditions, Cells",lymphoma,mantle cell
hsa-mir-155,UP,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-mir-155,UP,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-mir-155,UP,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-mir-155,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-155,UP,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-155,UP,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-155,UP,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-mir-155,UP,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-mir-155,UP,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-mir-155,DOWN,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-mir-155,UP,papillary thyroid carcinoma,D000077273,DOID_3969,"Cancer, Endocrine and Metabolic Conditions",carcinoma,papillary thyroid
hsa-mir-155,UP,papillary thyroid carcinoma,D000077273,DOID_3969,"Cancer, Endocrine and Metabolic Conditions",carcinoma,papillary thyroid
hsa-mir-155,UP,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-155,UP,rectal cancer,D012004,DOID_1993,"Cancer, Digestive & Gastrointestinal Conditions",rectal cancer,
hsa-mir-155,UP,rectal cancer,D012004,DOID_1993,"Cancer, Digestive & Gastrointestinal Conditions",rectal cancer,
hsa-mir-155,UP,rectal carcinoma,D002277,DOID_305,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,rectal
hsa-mir-155,UP,renal clear cell carcinoma,"D002277,D002477,T025",DOID_4467,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal clear cell
hsa-mir-155,UP,squamous carcinoma,D002294,DOID_1749,"Cancer, Integumentary System",carcinoma,squamous
hsa-mir-155,UP,uveal melanoma,"C536494,D000098943",DOID_6039,"Cancer, Integumentary System",melanoma,uveal
hsa-mir-155,UP,waldenstrom's macroglobulinemia,D008258,DOID_9080,Congenital/Hereditary Conditions,waldenstrom's macroglobulinemia,
hsa-mir-155,UP,waldenstrom's macroglobulinemia,D008258,DOID_9080,Congenital/Hereditary Conditions,waldenstrom's macroglobulinemia,
hsa-mir-155-3p,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-155-3p,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-155-5p,UP,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-155-5p,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-155-5p,UP,colorectal carcinoma,D015179,DOID_0080199,Cancer,carcinoma,colorectal
hsa-mir-155-5p,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-155-5p,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-155-5p,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-155-5p,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-15a,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-15a,DOWN,cervical carcinoma,D002277,DOID_305,Cancer,carcinoma,cervical
hsa-mir-15a,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-15a,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-15a,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-15a,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-15a,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-15a,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-mir-15a,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-15a,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-15a,UP,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-mir-15a,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-15a,UP,glioma,D005910,,Cancer,glioma,
hsa-mir-15a,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-15a,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-15a,UP,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-mir-15a,UP,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-mir-15a,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-15a,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-15a,DOWN,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-15a,UP,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-15a,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-15a,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-15a,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-15a,DOWN,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-mir-15a,DOWN,squamous carcinoma,D002294,DOID_1749,"Cancer, Integumentary System",carcinoma,squamous
hsa-mir-15a-3p,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-15a-3p,UP,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-15a-3p,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-15a-3p,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-15a-3p,DOWN,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-mir-15a-3p,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-15a-5p,DOWN,chronic myelogenous leukemia,D015464,DOID_8552,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic myelogenous
hsa-mir-15a-5p,DOWN,endometrial cancer,D016889,DOID_1380,"Cancer, Genitourinary Conditions",endometrial cancer,
hsa-mir-15a-5p,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-15b,UP,cervical carcinoma,D002277,DOID_305,Cancer,carcinoma,cervical
hsa-mir-15b,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-15b,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-15b,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-mir-15b,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-15b,UP,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-15b,DOWN,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-mir-15b,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-15b,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-15b,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-15b,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-15b,UP,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-15b,UP,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-mir-15b,UP,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-15b,UP,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-mir-15b,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-15b,DOWN,tongue cancer,D014062,DOID_8649,"Cancer, Teeth and Mouth Conditions",tongue cancer,
hsa-mir-15b-5p,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-15b-5p,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-15b-5p,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-15b-5p,UP,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-15b-5p,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-16,DOWN,bladder cancer,D001749,DOID_11054,"Cancer, Genitourinary Conditions",bladder cancer,
hsa-mir-16,UP,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-mir-16,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-16,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-16,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-16,DOWN,cervical carcinoma,D002277,DOID_305,Cancer,carcinoma,cervical
hsa-mir-16,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-16,DOWN,chronic myelogenous leukemia,D015464,DOID_8552,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic myelogenous
hsa-mir-16,UP,colorectal adenocarcinoma,D000230,DOID_0050861,Cancer,adenocarcinoma,colorectal
hsa-mir-16,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-16,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-16,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-16,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-16,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-16,UP,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-mir-16,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-16,DOWN,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-mir-16,UP,glioma,D005910,,Cancer,glioma,
hsa-mir-16,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-16,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-16,UP,head and neck squamous cell carcinoma,D000077195,DOID_5520,"Cancer, Integumentary System, Cells",carcinoma,head and neck squamous cell
hsa-mir-16,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-16,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-16,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-16,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-16,UP,laryngeal carcinoma,D002277,DOID_2600,Cancer,carcinoma,laryngeal
hsa-mir-16,DOWN,lung adenocarcinoma,D000077192,DOID_3910,"Cancer, Respiratory Conditions",adenocarcinoma,lung
hsa-mir-16,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-mir-16,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-16,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-16,DOWN,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-mir-16,DOWN,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-mir-16,DOWN,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-mir-16,DOWN,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-mir-16,DOWN,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-mir-16,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-16,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-16,DOWN,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-16,DOWN,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-mir-16,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-mir-16,DOWN,papillary thyroid carcinoma,D000077273,DOID_3969,"Cancer, Endocrine and Metabolic Conditions",carcinoma,papillary thyroid
hsa-mir-16,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-16,UP,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-mir-16,DOWN,squamous carcinoma,D002294,DOID_1749,"Cancer, Integumentary System",carcinoma,squamous
hsa-mir-16-1,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-16-1,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-16-1,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-mir-16-1,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-16-1,UP,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-mir-16-1,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-16-1-3p,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-16-1-3p,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-16-2,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-16-2,DOWN,chronic lymphocytic leukemia,D015451,DOID_1040,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic lymphocytic
hsa-mir-16-2,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-mir-16-2,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-16-2,UP,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-mir-16-2,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-16-5p,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-16-5p,DOWN,breast carcinoma,D001943,DOID_3459,"Cancer, Breast Conditions",carcinoma,breast
hsa-mir-16-5p,DOWN,chordoma,D002817,DOID_3302,Cancer,chordoma,
hsa-mir-16-5p,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-16-5p,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-17,DOWN,acute myeloid leukemia,D015470,DOID_9119,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,acute myeloid
hsa-mir-17,UP,b-cell lymphoma,D016393,"CL_0000236,DOID_0060058","Cancer, Hematopoietic & Lymphatic Conditions, Cells",lymphoma,b-cell
hsa-mir-17,UP,basal cell carcinoma,D002280,DOID_2513,"Cancer, Integumentary System, Cells",carcinoma,basal cell
hsa-mir-17,UP,bladder cancer,D001749,DOID_11054,"Cancer, Genitourinary Conditions",bladder cancer,
hsa-mir-17,UP,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-mir-17,UP,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-17,UP,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-17,UP,breast carcinoma,D001943,DOID_3459,"Cancer, Breast Conditions",carcinoma,breast
hsa-mir-17,UP,cholangiocarcinoma,D018281,DOID_4947,"Cancer, Digestive & Gastrointestinal Conditions",cholangiocarcinoma,
hsa-mir-17,UP,chronic myelogenous leukemia,D015464,DOID_8552,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic myelogenous
hsa-mir-17,UP,chronic myelogenous leukemia,D015464,DOID_8552,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic myelogenous
hsa-mir-17,UP,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-17,UP,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-17,UP,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-17,UP,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-17,UP,colorectal carcinoma,D015179,DOID_0080199,Cancer,carcinoma,colorectal
hsa-mir-17,DOWN,esophageal adenocarcinoma,D000230,DOID_299,"Cancer, Digestive & Gastrointestinal Conditions",adenocarcinoma,esophageal
hsa-mir-17,UP,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-mir-17,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-17,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-17,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-17,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-17,DOWN,glioma,D005910,,Cancer,glioma,
hsa-mir-17,UP,glioma,D005910,,Cancer,glioma,
hsa-mir-17,UP,glioma,D005910,,Cancer,glioma,
hsa-mir-17,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-17,UP,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-17,UP,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-17,UP,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-mir-17,UP,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-17,DOWN,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-17,UP,mantle cell lymphoma,D020522,DOID_0050746,"Cancer, Hematopoietic & Lymphatic Conditions, Cells",lymphoma,mantle cell
hsa-mir-17,UP,medulloblastoma,D008527,DOID_0050902,Cancer,medulloblastoma,
hsa-mir-17,UP,nasopharyngeal cancer,D009303,DOID_0060119,"Cancer, Eyes/Nose/Ears",nasopharyngeal cancer,
hsa-mir-17,UP,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-mir-17,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-mir-17,UP,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-17,UP,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-17,UP,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-17,UP,osteosarcoma,D012516,DOID_3347,"Cancer, Musculoskeletal Conditions",osteosarcoma,
hsa-mir-17,DOWN,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-mir-17,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-mir-17,UP,t-cell lymphoblastic lymphoma,"D013601,D054198","CL_0000084,DOID_0080147","Cancer, Hematopoietic & Lymphatic Conditions, Cells",lymphoma,t-cell lymphoblastic
hsa-mir-17-5p,UP,bladder cancer,D001749,DOID_11054,"Cancer, Genitourinary Conditions",bladder cancer,
hsa-mir-17-5p,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-17-5p,UP,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-17-5p,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-mir-17-5p,UP,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-17-5p,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-17-5p,DOWN,cervical cancer,D002583,DOID_4362,Cancer,cervical cancer,
hsa-mir-17-5p,UP,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-17-5p,UP,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-mir-17-5p,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-17-5p,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-17-5p,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-17-5p,UP,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-mir-17-5p,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-17-5p,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-17-5p,UP,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-mir-17-5p,UP,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-17-5p,UP,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-mir-17-5p,UP,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
