miRNA_ID,miRBase_acc,TSS_position,TSS_score,TSS_CAGE,TSS_tag,TSS_DNase,TSS_H3K4me3,TSS_Pol II
hsa-mir-32,MI0000090,chr9:109157918-109158058[-],724,NO,YES,NO,NO,NO
hsa-mir-32,MI0000090,chr9:109165298-109165518[-],725,YES,YES,NO,NO,NO
hsa-mir-32,MI0000090,chr9:109167838-109167938[-],723,NO,YES,NO,NO,NO
hsa-mir-32,MI0000090,chr9:109173318-109173338[-],722,NO,YES,NO,NO,NO
hsa-mir-32,MI0000090,chr9:109181218-109181398[-],724,NO,YES,NO,NO,NO
hsa-mir-32,MI0000090,chr9:109183218-109183278[-],723,NO,YES,NO,NO,NO
hsa-mir-32,MI0000090,chr9:109184278-109184298[-],722,NO,YES,NO,NO,NO
hsa-mir-32,MI0000090,chr9:109184958-109185098[-],724,NO,YES,NO,NO,NO
hsa-mir-32,MI0000090,chr9:109197278-109199138[-],0.73,NO,YES,NO,YES,NO
hsa-mir-32,MI0000090,chr9:109199718-109200158[-],712,NO,YES,NO,YES,NO
hsa-mir-32,MI0000090,chr9:109209298-109209318[-],722,NO,YES,NO,NO,NO
hsa-mir-32,MI0000090,chr9:109215198-109220538[-],767,YES,YES,YES,YES,YES
hsa-mir-32,MI0000090,chr9:109221638-109221658[-],702,NO,NO,NO,YES,NO
hsa-mir-3200,MI0014249,chr22:30534517-30538777[+],0.76,YES,YES,YES,YES,NO
hsa-mir-3200,MI0014249,chr22:30543457-30543697[+],723,NO,YES,YES,NO,NO
hsa-mir-3200,MI0014249,chr22:30548917-30549577[+],708,NO,YES,YES,NO,NO
hsa-mir-3200,MI0014249,chr22:30566517-30568797[+],814,YES,YES,YES,YES,NO
hsa-mir-3200,MI0014249,chr22:30593617-30597297[+],825,YES,YES,YES,YES,NO
hsa-mir-3200,MI0014249,chr22:30598777-30599737[+],731,NO,YES,NO,YES,NO
hsa-mir-3201,MI0014250,chr22:48088584-48088644[+],873,YES,YES,NO,NO,NO
hsa-mir-3202-1,MI0014252,chrX:153784677-153786617[+],0.74,YES,YES,NO,YES,NO
hsa-mir-3202-1,MI0014252,chrX:153800957-153801117[+],708,NO,YES,YES,NO,NO
hsa-mir-3202-1,MI0014252,chrX:153804597-153804617[+],703,YES,YES,YES,NO,NO
hsa-mir-3202-1,MI0014252,chrX:153809257-153809297[+],708,YES,YES,YES,NO,NO
hsa-mir-3202-1,MI0014252,chrX:153823017-153823157[+],748,NO,YES,YES,NO,NO
hsa-mir-3202-1,MI0014252,chrX:153826837-153829097[+],795,YES,YES,YES,YES,YES
hsa-mir-3202-1,MI0014252,chrX:153833577-153835817[+],788,YES,YES,YES,YES,NO
hsa-mir-3202-1,MI0014252,chrX:153844077-153844957[+],741,YES,YES,YES,YES,NO
hsa-mir-3202-1,MI0014252,chrX:153847437-153847537[+],723,YES,YES,YES,NO,NO
hsa-mir-3202-1,MI0014252,chrX:153853497-153853577[+],716,YES,YES,YES,NO,NO
hsa-mir-3202-1,MI0014252,chrX:153866197-153866817[+],741,NO,YES,NO,YES,NO
hsa-mir-3202-1,MI0014252,chrX:153868317-153873677[+],0.8,YES,YES,YES,YES,YES
hsa-mir-3202-2,MI0014253,chrX:154081816-154081976[-],746,YES,YES,YES,NO,NO
hsa-mir-3202-2,MI0014253,chrX:154102436-154102676[-],725,NO,YES,YES,NO,NO
hsa-mir-3202-2,MI0014253,chrX:154110776-154110956[-],706,YES,YES,NO,NO,NO
hsa-mir-3202-2,MI0014253,chrX:154111536-154111596[-],0.7,YES,YES,NO,NO,NO
hsa-mir-3202-2,MI0014253,chrX:154118576-154120616[-],804,YES,YES,YES,YES,NO
hsa-mir-3202-2,MI0014253,chrX:154130736-154130776[-],0.7,YES,YES,NO,NO,NO
hsa-mir-3202-2,MI0014253,chrX:154140336-154140356[-],0.7,YES,YES,NO,NO,NO
hsa-mir-3202-2,MI0014253,chrX:154146296-154146476[-],733,NO,YES,YES,NO,NO
hsa-mir-3202-2,MI0014253,chrX:154151356-154151536[-],742,NO,YES,YES,NO,NO
hsa-mir-323a,MI0000807,chr14:100871972-100872152[+],748,YES,YES,NO,NO,NO
hsa-mir-323a,MI0000807,chr14:100905532-100905732[+],936,NO,NO,YES,NO,NO
hsa-mir-323a,MI0000807,chr14:100921132-100921232[+],0.74,NO,NO,YES,NO,NO
hsa-mir-323b,MI0014206,chr14:100871979-100872139[+],745,YES,YES,NO,NO,NO
hsa-mir-323b,MI0014206,chr14:100905519-100905739[+],907,NO,NO,YES,NO,NO
hsa-mir-323b,MI0014206,chr14:100921119-100921219[+],732,NO,NO,YES,NO,NO
hsa-mir-323b,MI0014206,chr14:100927599-100927719[+],705,NO,YES,YES,NO,NO
hsa-mir-323b,MI0014206,chr14:100929839-100930119[+],722,NO,YES,YES,NO,NO
hsa-mir-323b,MI0014206,chr14:100930799-100930899[+],721,NO,YES,YES,NO,NO
hsa-mir-323b,MI0014206,chr14:100931739-100931759[+],701,YES,YES,YES,NO,NO
hsa-mir-323b,MI0014206,chr14:100933699-100933879[+],726,NO,YES,YES,NO,NO
hsa-mir-323b,MI0014206,chr14:100935879-100935899[+],716,NO,YES,YES,NO,NO
hsa-mir-324,MI0000813,chr17:7332539-7335439[-],762,YES,YES,YES,YES,YES
hsa-mir-324,MI0000813,chr17:7337719-7338759[-],729,YES,YES,YES,YES,YES
hsa-mir-324,MI0000813,chr17:7339319-7343399[-],744,YES,YES,YES,YES,YES
hsa-mir-324,MI0000813,chr17:7349619-7353339[-],769,YES,YES,YES,YES,YES
hsa-mir-324,MI0000813,chr17:7360899-7361579[-],0.73,YES,YES,NO,YES,NO
hsa-mir-324,MI0000813,chr17:7362659-7363939[-],706,YES,YES,NO,YES,NO
hsa-mir-324,MI0000813,chr17:7380699-7382599[-],738,YES,YES,YES,YES,YES
hsa-mir-324,MI0000813,chr17:7394579-7395119[-],0.74,YES,YES,YES,YES,NO
hsa-mir-324,MI0000813,chr17:7396219-7397019[-],755,NO,YES,YES,YES,NO
hsa-mir-324,MI0000813,chr17:7406399-7409419[-],0.8,YES,YES,YES,YES,YES
hsa-mir-324,MI0000813,chr17:7409919-7410539[-],708,YES,YES,YES,YES,NO
hsa-mir-324,MI0000813,chr17:7414159-7416199[-],798,YES,YES,YES,YES,YES
hsa-mir-325,MI0000824,chrX:77113041-77113241[-],707,NO,YES,NO,YES,NO
hsa-mir-325,MI0000824,chrX:77113881-77115101[-],0.85,YES,YES,NO,YES,NO
hsa-mir-326,MI0000808,chr11:75499326-75499786[-],0.83,YES,YES,YES,YES,YES
hsa-mir-328,MI0000804,chr16:67317175-67317195[-],704,NO,YES,YES,NO,NO
hsa-mir-328,MI0000804,chr16:67326295-67328275[-],833,YES,YES,YES,YES,YES
hsa-mir-328,MI0000804,chr16:67341155-67341275[-],725,NO,YES,YES,NO,NO
hsa-mir-328,MI0000804,chr16:67346015-67346755[-],725,YES,YES,YES,YES,YES
hsa-mir-328,MI0000804,chr16:67347415-67348435[-],0.77,YES,YES,YES,YES,YES
hsa-mir-328,MI0000804,chr16:67350075-67350095[-],0.71,YES,YES,NO,YES,YES
hsa-mir-328,MI0000804,chr16:67378735-67379435[-],718,YES,YES,YES,YES,NO
hsa-mir-329-1,MI0001725,chr14:100871965-100872145[+],737,YES,YES,NO,NO,NO
hsa-mir-329-1,MI0001725,chr14:100905525-100905745[+],908,NO,NO,YES,NO,NO
hsa-mir-329-1,MI0001725,chr14:100921125-100921225[+],729,NO,NO,YES,NO,NO
hsa-mir-329-2,MI0001726,chr14:100871980-100872140[+],741,YES,YES,NO,NO,NO
hsa-mir-329-2,MI0001726,chr14:100905520-100905740[+],903,NO,NO,YES,NO,NO
hsa-mir-329-2,MI0001726,chr14:100921120-100921220[+],729,NO,NO,YES,NO,NO
hsa-mir-330,MI0000803,chr19:45739487-45739507[-],734,YES,YES,YES,YES,NO
hsa-mir-330,MI0000803,chr19:45781667-45781987[-],705,NO,YES,YES,YES,YES
hsa-mir-330,MI0000803,chr19:45791627-45793607[-],801,YES,YES,YES,YES,YES
hsa-mir-330,MI0000803,chr19:45817287-45818207[-],0.73,YES,YES,YES,YES,YES
hsa-mir-330,MI0000803,chr19:45830827-45831147[-],738,YES,YES,YES,YES,YES
hsa-mir-331,MI0000812,chr12:95117400-95119740[+],804,YES,YES,YES,YES,YES
hsa-mir-335,MI0000816,chr7:130321291-130322171[+],726,NO,YES,NO,YES,NO
hsa-mir-335,MI0000816,chr7:130330371-130331211[+],722,NO,NO,YES,YES,NO
hsa-mir-335,MI0000816,chr7:130340031-130341931[+],832,YES,YES,YES,YES,NO
hsa-mir-335,MI0000816,chr7:130385591-130387131[+],796,YES,YES,YES,YES,YES
hsa-mir-335,MI0000816,chr7:130390491-130394871[+],703,YES,YES,NO,YES,NO
hsa-mir-337,MI0000806,chr14:100715633-100715653[+],711,NO,NO,NO,NO,YES
hsa-mir-337,MI0000806,chr14:100716293-100716733[+],0.75,NO,NO,NO,NO,YES
hsa-mir-337,MI0000806,chr14:100717233-100717953[+],808,NO,NO,NO,NO,YES
hsa-mir-337,MI0000806,chr14:100721173-100721193[+],704,NO,YES,NO,NO,YES
hsa-mir-337,MI0000806,chr14:100721833-100722353[+],771,NO,YES,NO,NO,YES
hsa-mir-337,MI0000806,chr14:100724233-100728333[+],801,YES,YES,YES,YES,NO
hsa-mir-337,MI0000806,chr14:100734073-100734113[+],703,YES,YES,NO,NO,NO
hsa-mir-337,MI0000806,chr14:100737153-100738113[+],723,NO,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100746473-100746493[+],702,YES,YES,NO,NO,NO
hsa-mir-337,MI0000806,chr14:100747373-100747733[+],703,YES,YES,NO,NO,NO
hsa-mir-337,MI0000806,chr14:100748533-100748773[+],708,YES,YES,NO,NO,NO
hsa-mir-337,MI0000806,chr14:100749493-100749513[+],701,YES,YES,NO,NO,NO
hsa-mir-337,MI0000806,chr14:100751233-100751413[+],785,YES,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100756213-100758653[+],709,NO,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100760073-100760713[+],705,YES,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100761393-100761813[+],0.71,YES,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100762413-100762533[+],711,NO,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100764313-100764473[+],722,NO,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100765393-100766413[+],714,NO,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100767833-100768213[+],0.71,NO,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100768773-100769233[+],0.71,NO,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100771753-100772133[+],715,NO,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100772653-100772933[+],0.72,NO,YES,YES,NO,NO
hsa-mir-337,MI0000806,chr14:100774113-100774293[+],712,NO,NO,YES,NO,NO
hsa-mir-338,MI0000814,chr17:81228849-81229069[-],701,YES,YES,NO,YES,NO
hsa-mir-338,MI0000814,chr17:81242869-81242989[-],746,NO,YES,YES,NO,NO
hsa-mir-338,MI0000814,chr17:81250869-81250889[-],718,YES,NO,YES,NO,NO
hsa-mir-338,MI0000814,chr17:81259929-81260629[-],746,YES,NO,YES,YES,NO
hsa-mir-338,MI0000814,chr17:81263089-81267109[-],748,YES,YES,NO,YES,YES
hsa-mir-338,MI0000814,chr17:81295669-81295829[-],724,YES,YES,YES,NO,NO
hsa-mir-338,MI0000814,chr17:81321589-81323889[-],0.8,YES,YES,YES,YES,YES
hsa-mir-339,MI0000815,chr7:1124566-1124906[-],706,NO,YES,NO,NO,NO
hsa-mir-339,MI0000815,chr7:1125966-1125986[-],701,NO,YES,NO,YES,NO
hsa-mir-339,MI0000815,chr7:1126606-1129206[-],769,YES,YES,YES,YES,NO
hsa-mir-339,MI0000815,chr7:1139706-1139906[-],702,NO,YES,NO,YES,NO
hsa-mir-339,MI0000815,chr7:1140526-1141266[-],735,NO,YES,NO,YES,NO
hsa-mir-339,MI0000815,chr7:1142666-1142866[-],701,NO,YES,NO,YES,NO
hsa-mir-339,MI0000815,chr7:1143506-1145526[-],829,YES,YES,YES,YES,YES
hsa-mir-339,MI0000815,chr7:1151526-1152306[-],707,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1153046-1153286[-],721,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1154506-1156546[-],742,YES,YES,YES,YES,NO
hsa-mir-339,MI0000815,chr7:1160426-1160806[-],742,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1164346-1164366[-],701,NO,NO,NO,YES,NO
hsa-mir-339,MI0000815,chr7:1165386-1166246[-],773,YES,NO,YES,YES,NO
hsa-mir-339,MI0000815,chr7:1176126-1176146[-],707,NO,NO,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1176646-1176926[-],722,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1177906-1177966[-],703,NO,YES,YES,NO,YES
hsa-mir-339,MI0000815,chr7:1178606-1179146[-],724,NO,YES,NO,NO,YES
hsa-mir-339,MI0000815,chr7:1183246-1183266[-],705,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1183786-1184046[-],725,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1186566-1189126[-],774,YES,YES,YES,YES,YES
hsa-mir-339,MI0000815,chr7:1189806-1189826[-],703,NO,YES,NO,YES,NO
hsa-mir-339,MI0000815,chr7:1191666-1192126[-],701,YES,YES,NO,NO,YES
hsa-mir-339,MI0000815,chr7:1192766-1193306[-],727,NO,YES,NO,NO,YES
hsa-mir-339,MI0000815,chr7:1208366-1208786[-],0.71,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1209406-1209786[-],712,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1211406-1212826[-],709,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1213326-1213726[-],711,NO,YES,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1214246-1215646[-],705,NO,NO,YES,NO,NO
hsa-mir-339,MI0000815,chr7:1216206-1216486[-],701,NO,NO,YES,NO,NO
hsa-mir-33a,MI0000091,chr22:41725584-41726304[+],711,NO,YES,YES,NO,NO
hsa-mir-33a,MI0000091,chr22:41732884-41735124[+],815,YES,YES,YES,YES,YES
hsa-mir-33a,MI0000091,chr22:41748544-41748624[+],723,NO,YES,YES,NO,NO
hsa-mir-33a,MI0000091,chr22:41767044-41767144[+],702,YES,YES,NO,NO,NO
hsa-mir-33a,MI0000091,chr22:41800144-41800264[+],728,NO,YES,YES,NO,NO
hsa-mir-33b,MI0003646,chr17:17915131-17915291[-],729,NO,YES,YES,NO,NO
hsa-mir-33b,MI0003646,chr17:17919851-17920011[-],711,YES,YES,YES,NO,NO
hsa-mir-33b,MI0003646,chr17:17921051-17924591[-],765,YES,YES,YES,YES,YES
hsa-mir-33b,MI0003646,chr17:17930891-17931331[-],712,NO,YES,NO,NO,YES
hsa-mir-33b,MI0003646,chr17:17935211-17937511[-],816,YES,YES,YES,YES,YES
hsa-mir-33b,MI0003646,chr17:17938431-17938751[-],711,YES,YES,YES,YES,YES
hsa-mir-33b,MI0003646,chr17:17939611-17940971[-],0.86,YES,YES,YES,YES,YES
hsa-mir-33b,MI0003646,chr17:17941851-17941991[-],759,NO,YES,YES,YES,NO
hsa-mir-33b,MI0003646,chr17:17943631-17943831[-],705,NO,YES,NO,NO,NO
hsa-mir-33b,MI0003646,chr17:17949171-17949271[-],704,NO,YES,YES,NO,YES
hsa-mir-33b,MI0003646,chr17:17949891-17950371[-],724,NO,YES,YES,NO,YES
hsa-mir-33b,MI0003646,chr17:17960031-17960451[-],718,NO,YES,YES,NO,NO
hsa-mir-33b,MI0003646,chr17:17973811-17973891[-],718,NO,YES,YES,NO,NO
hsa-mir-33b,MI0003646,chr17:17977611-17978251[-],712,NO,YES,YES,NO,NO
hsa-mir-33b,MI0003646,chr17:17986371-17986551[-],729,NO,YES,YES,NO,NO
hsa-mir-33b,MI0003646,chr17:17990551-17991191[-],705,NO,YES,YES,NO,NO
hsa-mir-33b,MI0003646,chr17:18000691-18001031[-],721,NO,YES,YES,NO,NO
hsa-mir-340,MI0000802,chr5:180147877-180148057[-],753,NO,NO,YES,NO,NO
hsa-mir-340,MI0000802,chr5:180167417-180172557[-],757,YES,YES,YES,YES,YES
hsa-mir-340,MI0000802,chr5:180180797-180180877[-],702,YES,YES,NO,NO,NO
hsa-mir-340,MI0000802,chr5:180189657-180190897[-],795,YES,YES,YES,YES,NO
hsa-mir-342,MI0000805,chr14:99918155-99920735[+],753,YES,YES,NO,YES,NO
hsa-mir-342,MI0000805,chr14:99921895-99923955[+],723,NO,YES,YES,YES,NO
hsa-mir-342,MI0000805,chr14:99930595-99930675[+],704,NO,YES,NO,YES,NO
hsa-mir-342,MI0000805,chr14:99931295-99932075[+],796,NO,YES,NO,YES,NO
hsa-mir-342,MI0000805,chr14:99937395-99937575[+],717,NO,YES,NO,NO,NO
hsa-mir-342,MI0000805,chr14:99947135-99947155[+],714,YES,NO,NO,NO,NO
hsa-mir-342,MI0000805,chr14:99964115-99964355[+],708,YES,YES,YES,NO,NO
hsa-mir-342,MI0000805,chr14:99965175-99965675[+],756,YES,YES,YES,NO,NO
hsa-mir-342,MI0000805,chr14:99966295-99966555[+],714,YES,YES,YES,NO,NO
hsa-mir-342,MI0000805,chr14:99967475-99969755[+],717,YES,YES,YES,NO,NO
hsa-mir-342,MI0000805,chr14:99970535-99970595[+],714,YES,YES,NO,NO,NO
hsa-mir-342,MI0000805,chr14:99975655-99977855[+],709,YES,YES,YES,NO,NO
hsa-mir-342,MI0000805,chr14:99984635-99984815[+],714,YES,YES,NO,NO,NO
hsa-mir-342,MI0000805,chr14:99997455-99997655[+],719,YES,YES,NO,NO,NO
hsa-mir-342,MI0000805,chr14:100000475-100000615[+],715,NO,YES,NO,NO,NO
hsa-mir-342,MI0000805,chr14:100002015-100002215[+],0.71,YES,YES,NO,YES,NO
hsa-mir-342,MI0000805,chr14:100002855-100003615[+],772,YES,YES,YES,YES,NO
hsa-mir-342,MI0000805,chr14:100004915-100004935[+],715,YES,YES,NO,NO,NO
hsa-mir-342,MI0000805,chr14:100007315-100007415[+],705,NO,YES,YES,NO,NO
hsa-mir-342,MI0000805,chr14:100008415-100008655[+],799,NO,YES,YES,NO,NO
hsa-mir-345,MI0000825,chr14:100113499-100114939[+],816,YES,YES,YES,YES,YES
hsa-mir-345,MI0000825,chr14:100121379-100122279[+],762,NO,YES,YES,YES,YES
hsa-mir-345,MI0000825,chr14:100136979-100141439[+],815,YES,YES,YES,YES,YES
hsa-mir-345,MI0000825,chr14:100184519-100186259[+],794,NO,YES,YES,YES,YES
hsa-mir-345,MI0000825,chr14:100194199-100194379[+],733,NO,YES,YES,NO,NO
hsa-mir-345,MI0000825,chr14:100197439-100197599[+],747,NO,YES,YES,NO,NO
hsa-mir-345,MI0000825,chr14:100204779-100207859[+],767,YES,YES,YES,YES,YES
hsa-mir-346,MI0000826,chr10:86393028-86393108[-],719,NO,NO,YES,NO,NO
hsa-mir-346,MI0000826,chr10:86455608-86455768[-],781,NO,NO,YES,NO,NO
hsa-mir-346,MI0000826,chr10:86462948-86463668[-],854,NO,NO,YES,YES,NO
hsa-mir-34a,MI0000268,chr1:9263757-9263857[-],701,YES,YES,YES,NO,NO
hsa-mir-34a,MI0000268,chr1:9280937-9283837[-],732,YES,YES,YES,YES,YES
hsa-mir-34a,MI0000268,chr1:9296617-9296637[-],704,NO,NO,YES,NO,NO
hsa-mir-34a,MI0000268,chr1:9298077-9298817[-],727,YES,YES,NO,YES,NO
hsa-mir-34a,MI0000268,chr1:9301317-9302717[-],704,YES,YES,NO,YES,NO
hsa-mir-34a,MI0000268,chr1:9333417-9335977[-],813,YES,YES,YES,YES,YES
hsa-mir-34a,MI0000268,chr1:9339877-9339977[-],711,YES,YES,YES,NO,NO
hsa-mir-34a,MI0000268,chr1:9342697-9342817[-],756,YES,YES,YES,NO,NO
hsa-mir-34a,MI0000268,chr1:9349817-9350297[-],713,NO,NO,YES,YES,YES
hsa-mir-34b,MI0000742,chr11:111317878-111318118[+],751,NO,YES,YES,NO,NO
hsa-mir-34b,MI0000742,chr11:111322878-111323378[+],0.75,NO,NO,YES,NO,YES
hsa-mir-34b,MI0000742,chr11:111328578-111329378[+],0.72,NO,YES,YES,NO,NO
hsa-mir-34b,MI0000742,chr11:111336338-111337078[+],812,NO,YES,NO,YES,NO
hsa-mir-34b,MI0000742,chr11:111346638-111346818[+],774,NO,NO,YES,NO,NO
hsa-mir-34b,MI0000742,chr11:111412098-111412938[+],795,YES,YES,NO,YES,NO
hsa-mir-34c,MI0000743,chr11:111317879-111318119[+],748,NO,YES,YES,NO,NO
hsa-mir-34c,MI0000743,chr11:111322899-111323359[+],0.75,NO,NO,YES,NO,YES
hsa-mir-34c,MI0000743,chr11:111329119-111329359[+],728,NO,YES,YES,NO,NO
hsa-mir-34c,MI0000743,chr11:111336339-111337079[+],801,NO,YES,NO,YES,NO
hsa-mir-34c,MI0000743,chr11:111346639-111346819[+],0.77,NO,NO,YES,NO,NO
hsa-mir-34c,MI0000743,chr11:111412099-111413439[+],795,YES,YES,NO,YES,NO
hsa-mir-3529,MI0017351,chr15:88720904-88723124[-],872,YES,YES,YES,YES,YES
hsa-mir-3529,MI0017351,chr15:88735524-88735764[-],716,YES,YES,NO,NO,NO
hsa-mir-3529,MI0017351,chr15:88738284-88739944[-],809,YES,YES,YES,YES,YES
hsa-mir-3529,MI0017351,chr15:88749444-88749624[-],748,NO,YES,YES,NO,NO
hsa-mir-3529,MI0017351,chr15:88781704-88782224[-],734,NO,NO,NO,NO,YES
hsa-mir-3529,MI0017351,chr15:88804764-88806024[-],763,NO,NO,YES,YES,NO
hsa-mir-122b,MI0017383,chr18:58560392-58560552[-],711,YES,YES,NO,NO,NO
hsa-mir-122b,MI0017383,chr18:58580052-58580552[-],704,NO,YES,NO,NO,YES
hsa-mir-122b,MI0017383,chr18:58581112-58582032[-],733,NO,YES,NO,NO,YES
hsa-mir-122b,MI0017383,chr18:58589032-58589572[-],704,NO,YES,NO,NO,YES
hsa-mir-122b,MI0017383,chr18:58590112-58591012[-],731,NO,YES,NO,NO,YES
hsa-mir-122b,MI0017383,chr18:58591692-58592492[-],702,NO,YES,NO,YES,YES
hsa-mir-122b,MI0017383,chr18:58593112-58594192[-],775,YES,YES,YES,YES,NO
hsa-mir-122b,MI0017383,chr18:58597612-58597792[-],708,NO,YES,NO,NO,NO
hsa-mir-122b,MI0017383,chr18:58625172-58625652[-],708,YES,YES,NO,NO,YES
hsa-mir-122b,MI0017383,chr18:58626252-58626912[-],822,YES,YES,NO,NO,YES
hsa-mir-122b,MI0017383,chr18:58628812-58629272[-],701,NO,YES,YES,NO,NO
hsa-mir-122b,MI0017383,chr18:58629812-58630092[-],737,NO,YES,YES,NO,NO
hsa-mir-122b,MI0017383,chr18:58635472-58635712[-],715,YES,YES,NO,NO,NO
hsa-mir-122b,MI0017383,chr18:58636712-58636752[-],708,YES,YES,NO,NO,NO
hsa-mir-3605,MI0015995,chr1:33434152-33434252[-],701,NO,YES,YES,NO,NO
hsa-mir-3605,MI0015995,chr1:33438572-33438592[-],705,NO,YES,YES,NO,NO
hsa-mir-3605,MI0015995,chr1:33442152-33443192[-],711,NO,YES,YES,YES,YES
hsa-mir-3605,MI0015995,chr1:33447152-33451092[-],757,YES,YES,YES,YES,YES
hsa-mir-3605,MI0015995,chr1:33465872-33465972[-],703,NO,YES,YES,NO,NO
hsa-mir-3605,MI0015995,chr1:33467892-33468032[-],731,YES,YES,YES,NO,NO
hsa-mir-3605,MI0015995,chr1:33470492-33470512[-],701,NO,YES,YES,NO,NO
hsa-mir-3605,MI0015995,chr1:33483032-33483592[-],706,NO,NO,NO,YES,NO
hsa-mir-3605,MI0015995,chr1:33529412-33531372[-],0.73,YES,YES,YES,YES,NO
hsa-mir-3606,MI0015996,chr2:188874110-188874510[+],786,YES,YES,YES,NO,NO
hsa-mir-3609,MI0015999,chr7:98702090-98702250[+],709,NO,NO,YES,NO,NO
hsa-mir-3609,MI0015999,chr7:98716310-98716490[+],739,NO,NO,YES,NO,NO
hsa-mir-3609,MI0015999,chr7:98726850-98727010[+],811,NO,NO,YES,NO,NO
hsa-mir-3609,MI0015999,chr7:98736430-98737070[+],707,NO,YES,YES,NO,NO
hsa-mir-3609,MI0015999,chr7:98741850-98741990[+],734,NO,NO,YES,NO,NO
hsa-mir-3609,MI0015999,chr7:98768530-98770930[+],0.73,YES,YES,YES,YES,NO
hsa-mir-3609,MI0015999,chr7:98777490-98779910[+],825,YES,YES,YES,YES,YES
hsa-mir-3609,MI0015999,chr7:98781610-98781650[+],721,YES,YES,NO,NO,NO
hsa-mir-361,MI0000760,chrX:86102427-86102587[-],874,NO,NO,NO,NO,YES
hsa-mir-3610,MI0016000,chr8:116974800-116975480[-],857,YES,YES,YES,YES,YES
hsa-mir-3610,MI0016000,chr8:117027100-117027180[-],714,NO,YES,NO,NO,NO
hsa-mir-3610,MI0016000,chr8:117036980-117038960[-],763,YES,YES,YES,YES,NO
hsa-mir-3610,MI0016000,chr8:117045200-117045220[-],704,NO,YES,NO,YES,NO
hsa-mir-3610,MI0016000,chr8:117045840-117046440[-],789,NO,YES,NO,YES,NO
hsa-mir-3610,MI0016000,chr8:117050800-117051020[-],718,YES,YES,NO,NO,NO
hsa-mir-3611,MI0016001,chr10:35188480-35191160[-],769,YES,YES,YES,YES,YES
hsa-mir-3611,MI0016001,chr10:35226600-35228460[-],866,YES,YES,YES,YES,YES
hsa-mir-3611,MI0016001,chr10:35272600-35272780[-],0.72,NO,YES,YES,NO,NO
hsa-mir-3611,MI0016001,chr10:35275580-35275640[-],704,YES,YES,NO,NO,NO
hsa-mir-3612,MI0016002,chr12:128148312-128148392[+],0.71,NO,YES,NO,NO,NO
hsa-mir-3612,MI0016002,chr12:128158152-128158352[+],705,NO,NO,NO,YES,NO
hsa-mir-3612,MI0016002,chr12:128158992-128159892[+],778,NO,NO,NO,YES,NO
hsa-mir-3612,MI0016002,chr12:128165392-128165412[+],703,NO,NO,NO,YES,NO
hsa-mir-3612,MI0016002,chr12:128166212-128168832[+],862,YES,YES,NO,YES,NO
hsa-mir-3613,MI0016003,chr13:50096501-50098901[-],844,YES,YES,YES,YES,YES
hsa-mir-3613,MI0016003,chr13:50178421-50179021[-],708,NO,YES,NO,YES,NO
hsa-mir-3613,MI0016003,chr13:50181881-50183161[-],777,YES,YES,YES,YES,YES
hsa-mir-3613,MI0016003,chr13:50184801-50185481[-],728,NO,YES,NO,YES,NO
hsa-mir-3614,MI0016004,chr17:57008375-57008475[-],0.72,YES,YES,YES,NO,NO
hsa-mir-3614,MI0016004,chr17:57012395-57015295[-],804,YES,YES,YES,YES,YES
hsa-mir-3614,MI0016004,chr17:57059635-57061275[-],0.78,YES,YES,YES,YES,YES
hsa-mir-3614,MI0016004,chr17:57077455-57079075[-],811,YES,YES,YES,YES,YES
hsa-mir-3615,MI0016005,chr17:74557573-74557693[+],736,NO,YES,YES,NO,NO
hsa-mir-3615,MI0016005,chr17:74571093-74572393[+],775,YES,YES,YES,YES,YES
hsa-mir-3615,MI0016005,chr17:74577673-74577813[+],729,YES,YES,YES,NO,NO
hsa-mir-3615,MI0016005,chr17:74612933-74613113[+],728,YES,YES,YES,NO,NO
hsa-mir-3615,MI0016005,chr17:74636493-74637233[+],752,YES,YES,YES,YES,YES
