miRNA_ID,miRBase_acc,precursor_miRNA_id,PMID,diagnostic_marker,prognostic_marker,tested_prognostic_outcome,Biomarker_sample_type,miRNA_expression,Cell_line,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-miR-146b-5p,MIMAT0002809,hsa-mir-146b,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-148a-3p,MIMAT0000243,hsa-mir-148a,22447484, ,POSITIVE,relapse-free survival,Plasma,UP,bone marrow,multiple myeloma,D009101,DOID_9538,"Cancer, Other/Unclassified/Multisystem",multiple myeloma,
hsa-miR-148a-3p,MIMAT0000243,hsa-mir-148a,22087245,YES, , ,Serum,UP,"throat, stool or vesicle swab",picornaviridae infections,D010850,NCBITaxon_12058,Infectious Diseases,picornaviridae infections,
hsa-miR-148a-3p,MIMAT0000243,hsa-mir-148a,24431276,YES, , ,Serum,UP,,osteoporosis,D010024,DOID_11476,Musculoskeletal Conditions,osteoporosis,
hsa-miR-148b-3p,MIMAT0000759,hsa-mir-148b,30210287, ,POSITIVE,bulbar onset,Plasma,DOWN,,amyotrophic lateral sclerosis,D000690,"DOID_0111227,DOID_332",Neurological Conditions,amyotrophic lateral sclerosis,
hsa-miR-148b-3p,MIMAT0000759,hsa-mir-148b,25051376,YES, , ,Plasma,UP,,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-148b-3p,MIMAT0000759,hsa-mir-148b,24194846,YES, , ,Plasma,UP,,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-148b-3p,MIMAT0000759,hsa-mir-148b,22927033,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-150-3p,MIMAT0004610,hsa-mir-150,21460253,YES, , ,Plasma,UP,,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-150-3p,MIMAT0004610,hsa-mir-150,21460253,YES, , ,Plasma,UP,,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,21460253,YES, , ,Plasma,UP,,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,21460253,YES, , ,Plasma,UP,,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,22674182,YES, , ,Serum,DOWN,,astrocytoma,D001254,,Cancer,astrocytoma,
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,22674182,YES, , ,Serum,DOWN,,astrocytoma,D001254,,Cancer,astrocytoma,
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,25584781, ,NEGATIVE,overall survival,Serum,UP,,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,31954402, ,POSITIVE,disease severity,Blood,UP,,dengue,D003715,,Viral Infections,dengue,
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,23372743, ,NEGATIVE,overall survival,Serum,DOWN,,critical illness,D016638,,Other/Unclassified/Multisystem,critical illness,
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,25584781, ,NEGATIVE,treatment-free survival,Serum,UP,,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,22674182,YES, , ,Serum,DOWN,,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,31954402, ,POSITIVE,disease severity,Blood,UP,,dengue,D003715,,Viral Infections,dengue,
hsa-miR-150-5p,MIMAT0000451,hsa-mir-150,22674182,YES, , ,Serum,DOWN,,astrocytoma,D001254,,Cancer,astrocytoma,
hsa-miR-151a-3p,MIMAT0000757,hsa-mir-151a,31658043,YES, , ,Plasma,UP,cervix,uterine cervical neoplasms,D002583,DOID_4362,"Cancer, Genitourinary Conditions",neoplasm,uterine cervical
hsa-miR-151a-3p,MIMAT0000757,hsa-mir-151a,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-151a-3p,MIMAT0000757,hsa-mir-151a,31658043,YES, , ,Plasma,UP,cervix,uterine cervical neoplasms,D002583,DOID_4362,"Cancer, Genitourinary Conditions",neoplasm,uterine cervical
hsa-miR-151a-3p,MIMAT0000757,hsa-mir-151a,31658043,YES, , ,Plasma,UP,cervix,uterine cervical neoplasms,D002583,DOID_4362,"Cancer, Genitourinary Conditions",neoplasm,uterine cervical
hsa-miR-151a-3p,MIMAT0000757,hsa-mir-151a,31658043,YES, , ,Plasma,UP,cervix,uterine cervical neoplasms,D002583,DOID_4362,"Cancer, Genitourinary Conditions",neoplasm,uterine cervical
hsa-miR-151a-3p,MIMAT0000757,hsa-mir-151a,23574937, ,POSITIVE,metastasis,Plasma,UP,prostate,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-miR-151a-5p,MIMAT0004697,hsa-mir-151a,22472564,YES, , ,Serum,UP,thyroid,"thyroid cancer, papillary",D000077273,DOID_1781,"Cancer, Endocrine and Metabolic Conditions",thyroid cancer,papillary
hsa-miR-151a-5p,MIMAT0004697,hsa-mir-151a,22472564,YES, , ,Serum,UP,thyroid,"thyroid cancer, papillary",D000077273,DOID_1781,"Cancer, Endocrine and Metabolic Conditions",thyroid cancer,papillary
hsa-miR-151a-5p,MIMAT0004697,hsa-mir-151a,28179587,YES, , ,Plasma,DOWN,hippocampus,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-miR-151a-5p,MIMAT0004697,hsa-mir-151a,28179587,YES, , ,Plasma,DOWN,hippocampus,cognitive dysfunction,D060825,,Eyes/Nose/Ears,cognitive dysfunction,
hsa-miR-152-3p,MIMAT0000438,hsa-mir-152,22095477,YES, , ,Plasma,DOWN,maternal plasma (non fetal),pre-eclampsia,D011225,DOID_13593,Pregnancy Conditions and Outcomes,pre-eclampsia,
hsa-miR-155-5p,MIMAT0000646,hsa-mir-155,28466015,YES, , ,Plasma,UP,"pancreas head and neck, pancreas body and tail","carcinoma, pancreatic ductal",D021441,"DOID_305,UBERON_0007329","Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",carcinoma,pancreatic ductal
hsa-miR-155-5p,MIMAT0000646,hsa-mir-155,21398193,YES, , ,Serum,UP,lung,lung neoplasms,D008175,DOID_1324,"Cancer, Respiratory Conditions",neoplasm,lung
hsa-miR-155-5p,MIMAT0000646,hsa-mir-155,25176944,YES, , ,Serum,UP,heart,graft rejection,D006084,,Immune and Autoimmune Conditions,graft rejection,
hsa-miR-155-5p,MIMAT0000646,hsa-mir-155,16251535, ,POSITIVE,aggresive disease course,Blood,UP,blood,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-155-5p,MIMAT0000646,hsa-mir-155,16251535, ,NEGATIVE,time to initial therapy,Blood,UP,blood,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-155-5p,MIMAT0000646,hsa-mir-155,21398193,YES, , ,Serum,UP,lung,lung neoplasms,D008175,DOID_1324,"Cancer, Respiratory Conditions",neoplasm,lung
hsa-miR-155-5p,MIMAT0000646,hsa-mir-155,25176944,YES, , ,Serum,UP,heart,graft rejection,D006084,,Immune and Autoimmune Conditions,graft rejection,
hsa-miR-155-5p,MIMAT0000646,hsa-mir-155,21892163,YES, , ,Plasma,UP,,lung neoplasms,D008175,DOID_1324,"Cancer, Respiratory Conditions",neoplasm,lung
hsa-miR-155-5p,MIMAT0000646,hsa-mir-155,23071695,YES, , ,Serum,UP,serum,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-15a-5p,MIMAT0000068,hsa-mir-15a,20651284,YES, , ,Plasma,DOWN,,"diabetes mellitus, type 2",D003924,DOID_9351,"Diabetes, Endocrine and Metabolic Conditions",diabetes mellitus,type 2
hsa-miR-15a-5p,MIMAT0000068,hsa-mir-15a,16251535, ,POSITIVE,aggresive disease course,Blood,UP,blood,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-15a-5p,MIMAT0000068,hsa-mir-15a,24405714, ,POSITIVE,post-therapeutic efficacy,Serum,UP,pelvic lymph node,uterine cervical neoplasms,D002583,DOID_4362,"Cancer, Genitourinary Conditions",neoplasm,uterine cervical
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,24204780,YES, , ,Serum,UP,,obesity,D009765,"DOID_9970,SYMP_0020018",Endocrine and Metabolic Conditions,obesity,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,22674182,YES, , ,Serum,DOWN,,astrocytoma,D001254,,Cancer,astrocytoma,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,27047250,YES, , ,Serum,UP,brain,glioma,D005910,,Cancer,glioma,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,22674182,YES, , ,Serum,DOWN,,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,27047250,YES, , ,Serum,UP,brain,glioma,D005910,,Cancer,glioma,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,24204780,YES, , ,Serum,UP,,"diabetes mellitus, type 2",D003924,DOID_9351,"Diabetes, Endocrine and Metabolic Conditions",diabetes mellitus,type 2
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,26695145,YES, , ,Serum,DOWN,,"carcinoma, non-small-cell lung",D002289,"CL_0000000,DOID_305,UBERON_0002048","Cancer, Respiratory Conditions, Cells",carcinoma,non-small-cell lung
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,23922807,YES, , ,Plasma,DOWN,,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,22674182,YES, , ,Serum,DOWN,,astrocytoma,D001254,,Cancer,astrocytoma,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,22389695,YES, , ,Serum,UP,,"carcinoma, non-small-cell lung",D002289,"CL_0000000,DOID_305,UBERON_0002048","Cancer, Respiratory Conditions, Cells",carcinoma,non-small-cell lung
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,27047250,YES, , ,Serum,UP,brain,glioma,D005910,,Cancer,glioma,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,22389695,YES, , ,Serum,UP,,"carcinoma, non-small-cell lung",D002289,"CL_0000000,DOID_305,UBERON_0002048","Cancer, Respiratory Conditions, Cells",carcinoma,non-small-cell lung
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,23267864,YES, , ,Blood,UP,colon,colorectal neoplasms,D015179,,Cancer,neoplasm,colorectal
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,23267864,YES, , ,Blood,UP,colon,colorectal neoplasms,D015179,,Cancer,neoplasm,colorectal
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,27047250,YES, , ,Serum,UP,brain,glioma,D005910,,Cancer,glioma,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,22674182,YES, , ,Serum,DOWN,,astrocytoma,D001254,,Cancer,astrocytoma,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,23922807,YES, , ,Plasma,DOWN,,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-miR-15b-5p,MIMAT0000417,hsa-mir-15b,26695145,YES, , ,Serum,DOWN,,"carcinoma, non-small-cell lung",D002289,"CL_0000000,DOID_305,UBERON_0002048","Cancer, Respiratory Conditions, Cells",carcinoma,non-small-cell lung
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,25887942,YES, , ,Plasma,UP,,"diabetes, gestational",D016640,DOID_9351,"Diabetes, Endocrine and Metabolic Conditions, Pregnancy Conditions and Outcomes",diabetes,gestational
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,27047250,YES, , ,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,20883153,YES, , ,Plasma,DOWN,,"brain injuries, traumatic",D000070642,UBERON_0000955,Neurological Conditions,brain injury,traumatic
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,16251535, ,POSITIVE,aggresive disease course,Blood,UP,blood,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,21546856,YES, , ,Serum,UP,bowel,crohn disease,D003424,DOID_8778,Digestive & Gastrointestinal Conditions,crohn disease,
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,20883153,YES, , ,Plasma,DOWN,,"brain injuries, traumatic",D000070642,UBERON_0000955,Neurological Conditions,brain injury,traumatic
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,27047250,YES, , ,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,24595006,YES, , ,Plasma,UP,"gastric body, antrum of stomach",stomach neoplasms,D013274,UBERON_0000945,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,stomach
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,27047250,YES, , ,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,24595006,YES, , ,Plasma,UP,"gastric body, antrum of stomach",stomach neoplasms,D013274,UBERON_0000945,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,stomach
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,23574937, ,NEGATIVE,metastasis,Plasma,UP,prostate,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,26695145,YES, , ,Serum,UP,,"carcinoma, non-small-cell lung",D002289,"CL_0000000,DOID_305,UBERON_0002048","Cancer, Respiratory Conditions, Cells",carcinoma,non-small-cell lung
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,22198701,YES, , ,Serum,DOWN,,stomach neoplasms,D013274,UBERON_0000945,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,stomach
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,26695145,YES, , ,Serum,UP,,"carcinoma, non-small-cell lung",D002289,"CL_0000000,DOID_305,UBERON_0002048","Cancer, Respiratory Conditions, Cells",carcinoma,non-small-cell lung
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,24595006,YES, , ,Plasma,UP,"gastric body, antrum of stomach",stomach neoplasms,D013274,UBERON_0000945,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,stomach
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,24595006,YES, , ,Plasma,UP,"gastric body, antrum of stomach",stomach neoplasms,D013274,UBERON_0000945,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,stomach
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,24901787,YES, , ,Plasma,UP,,osteoarthritis,D010003,DOID_8398,Musculoskeletal Conditions,osteoarthritis,
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,20883153,YES, , ,Plasma,UP,,brain concussion,D001924,UBERON_0000955,Neurological Conditions,brain concussion,
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,27047250,YES, , ,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,27047250,YES, , ,Serum,DOWN,brain,glioma,D005910,,Cancer,glioma,
hsa-miR-16-5p,MIMAT0000069,hsa-mir-16-1|hsa-mir-16-2,27047250,YES, , ,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-17-5p,MIMAT0000070,hsa-mir-17,25887942,YES, , ,Plasma,UP,,"diabetes, gestational",D016640,DOID_9351,"Diabetes, Endocrine and Metabolic Conditions, Pregnancy Conditions and Outcomes",diabetes,gestational
hsa-miR-17-5p,MIMAT0000070,hsa-mir-17,23203215,YES, , ,Plasma,DOWN,abdominopelvic cavity,endometriosis,D004715,DOID_289,Genitourinary Conditions,endometriosis,
hsa-miR-17-5p,MIMAT0000070,hsa-mir-17,26695145,YES, , ,Serum,UP,,"carcinoma, non-small-cell lung",D002289,"CL_0000000,DOID_305,UBERON_0002048","Cancer, Respiratory Conditions, Cells",carcinoma,non-small-cell lung
hsa-miR-17-5p,MIMAT0000070,hsa-mir-17,24699363,YES, , ,Serum,UP,,"influenza, human",D007251,DOID_8469,Viral Infections,influenza,human
hsa-miR-17-5p,MIMAT0000070,hsa-mir-17,28284220, ,NEGATIVE,overall survival,Serum,UP,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-17-5p,MIMAT0000070,hsa-mir-17,24699363,YES, , ,Serum,UP,,"influenza, human",D007251,DOID_8469,Viral Infections,influenza,human
hsa-miR-17-5p,MIMAT0000070,hsa-mir-17,28284220, ,NEGATIVE,overall survival,Serum,UP,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-17-5p,MIMAT0000070,hsa-mir-17,26695145,YES, , ,Serum,UP,,"carcinoma, non-small-cell lung",D002289,"CL_0000000,DOID_305,UBERON_0002048","Cancer, Respiratory Conditions, Cells",carcinoma,non-small-cell lung
hsa-miR-181a-5p,MIMAT0000256,hsa-mir-181a-2|hsa-mir-181a-1,16251535, ,NEGATIVE,time to initial therapy,Blood,UP,blood,"leukemia, lymphocytic, chronic, b-cell",D015451,"CL_0000236,DOID_1240","Cancer, Hematopoietic & Lymphatic Conditions, Cells",leukemia,chronic b-cell lymphocytic
hsa-miR-181b-5p,MIMAT0000257,hsa-mir-181b-1|hsa-mir-181b-2,25126405,YES, , ,Serum,DOWN,,autism spectrum disorder,D000067877,DOID_0060041,Neurological Conditions,autism spectrum disorder,
hsa-miR-181c-5p,MIMAT0000258,hsa-mir-181c,24405714, ,POSITIVE,post-therapeutic efficacy,Serum,UP,pelvic lymph node,uterine cervical neoplasms,D002583,DOID_4362,"Cancer, Genitourinary Conditions",neoplasm,uterine cervical
hsa-miR-182-5p,MIMAT0000259,hsa-mir-182,28284220, ,POSITIVE,overall survival,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-182-5p,MIMAT0000259,hsa-mir-182,28284220, ,POSITIVE,overall survival,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-182-5p,MIMAT0000259,hsa-mir-182,28284220, ,POSITIVE,disease-free survival,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-182-5p,MIMAT0000259,hsa-mir-182,28284220, ,POSITIVE,disease-free survival,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-182-5p,MIMAT0000259,hsa-mir-182,28284220, ,POSITIVE,disease-free survival,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-182-5p,MIMAT0000259,hsa-mir-182,28284220, ,POSITIVE,overall survival,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-183-3p,MIMAT0004560,hsa-mir-183,25619197,YES, , ,Plasma,DOWN,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-183-3p,MIMAT0004560,hsa-mir-183,25619197,YES, , ,Plasma,DOWN,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-183-3p,MIMAT0004560,hsa-mir-183,25619197,YES, , ,Plasma,DOWN,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-184,MIMAT0000454,hsa-mir-184,24901787,YES, , ,Plasma,UP,,osteoarthritis,D010003,DOID_8398,Musculoskeletal Conditions,osteoarthritis,
hsa-miR-186-5p,MIMAT0000456,hsa-mir-186,30210287, ,POSITIVE,bulbar onset,Plasma,DOWN,,amyotrophic lateral sclerosis,D000690,"DOID_0111227,DOID_332",Neurological Conditions,amyotrophic lateral sclerosis,
hsa-miR-186-5p,MIMAT0000456,hsa-mir-186,24901787,YES, , ,Plasma,UP,,osteoarthritis,D010003,DOID_8398,Musculoskeletal Conditions,osteoarthritis,
hsa-miR-18a-5p,MIMAT0000072,hsa-mir-18a,24626859,YES, , ,Plasma,UP,,stomach neoplasms,D013274,UBERON_0000945,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,stomach
hsa-miR-18a-5p,MIMAT0000072,hsa-mir-18a,23267864,YES, , ,Blood,UP,colon,colorectal neoplasms,D015179,,Cancer,neoplasm,colorectal
hsa-miR-18a-5p,MIMAT0000072,hsa-mir-18a,23267864,YES, , ,Blood,UP,colon,colorectal neoplasms,D015179,,Cancer,neoplasm,colorectal
hsa-miR-18a-5p,MIMAT0000072,hsa-mir-18a,24626859, ,NEGATIVE,post-operative recurrence,Plasma,UP,,stomach neoplasms,D013274,UBERON_0000945,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,stomach
hsa-miR-18a-5p,MIMAT0000072,hsa-mir-18a,28179587,YES, , ,Plasma,DOWN,hippocampus,cognitive dysfunction,D060825,,Eyes/Nose/Ears,cognitive dysfunction,
hsa-miR-18a-5p,MIMAT0000072,hsa-mir-18a,22045190,YES, , ,Plasma,UP,pancreas,pancreatic neoplasms,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,pancreatic
hsa-miR-18a-5p,MIMAT0000072,hsa-mir-18a,28179587,YES, , ,Plasma,DOWN,hippocampus,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-miR-18b-5p,MIMAT0001412,hsa-mir-18b,25547678, ,NEGATIVE,overall survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-18b-5p,MIMAT0001412,hsa-mir-18b,25547678, ,NEGATIVE,recurrence-free survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-18b-5p,MIMAT0001412,hsa-mir-18b,25547678, ,NEGATIVE,overall survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-18b-5p,MIMAT0001412,hsa-mir-18b,25547678, ,NEGATIVE,overall survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-18b-5p,MIMAT0001412,hsa-mir-18b,25547678, ,NEGATIVE,recurrence-free survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-18b-5p,MIMAT0001412,hsa-mir-18b,25547678, ,NEGATIVE,recurrence-free survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-190a-5p,MIMAT0000458,hsa-mir-190a,25619197,YES, , ,Plasma,DOWN,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-190a-5p,MIMAT0000458,hsa-mir-190a,25619197,YES, , ,Plasma,DOWN,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-190a-5p,MIMAT0000458,hsa-mir-190a,25057879,YES, , ,Serum,UP,thyroid,"thyroid cancer, papillary",D000077273,DOID_1781,"Cancer, Endocrine and Metabolic Conditions",thyroid cancer,papillary
hsa-miR-190a-5p,MIMAT0000458,hsa-mir-190a,25057879,YES, , ,Serum,UP,thyroid,"thyroid cancer, papillary",D000077273,DOID_1781,"Cancer, Endocrine and Metabolic Conditions",thyroid cancer,papillary
hsa-miR-190a-5p,MIMAT0000458,hsa-mir-190a,25619197,YES, , ,Plasma,DOWN,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-191-5p,MIMAT0000440,hsa-mir-191,27246141,YES, , ,Serum,UP,,"multiple sclerosis, chronic progressive",D020528,DOID_2377,Other/Unclassified/Multisystem,multiple sclerosis,chronic progressive
hsa-miR-191-5p,MIMAT0000440,hsa-mir-191,27246141,YES, , ,Serum,UP,,"multiple sclerosis, chronic progressive",D020528,DOID_2377,Other/Unclassified/Multisystem,multiple sclerosis,chronic progressive
hsa-miR-191-5p,MIMAT0000440,hsa-mir-191,23922807,YES, , ,Plasma,DOWN,,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-miR-191-5p,MIMAT0000440,hsa-mir-191,23922807,YES, , ,Plasma,DOWN,,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-miR-191-5p,MIMAT0000440,hsa-mir-191,19954774,YES, , ,Blood,DOWN,,"diabetes mellitus, type 1",D003922,DOID_9351,"Diabetes, Endocrine and Metabolic Conditions",diabetes mellitus,type 1
hsa-miR-192-5p,MIMAT0000222,hsa-mir-192,27279796,YES, , ,Serum,UP,blood in tube without anticoagulant and purified serum,diabetic nephropathies,D003928,,"Diabetes, Endocrine and Metabolic Conditions, Genitourinary Conditions",diabetic nephropathies,
hsa-miR-192-5p,MIMAT0000222,hsa-mir-192,20930130,YES, , ,Plasma,UP,liver,chemical and drug induced liver injury,D056486,"CHEBI_23888,UBERON_0002107",Digestive & Gastrointestinal Conditions,liver injury,chemical and drug induced
