miRNA_ID,Cell_line,miRNA_expression,ExperimentSourceInfo,PMID,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-miR-20b-5p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-224-5p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
has-hsa-miR-200a,SF4068 and SF4433,DOWN,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-215-5p,Barrett's carcinogenesis,UP,cancer vs normal,21128279,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-miR-560,Barrett's carcinogenesis,UP,cancer vs normal,21128279,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-miR-615-3p,Barrett's carcinogenesis,DOWN,cancer vs normal,21128279,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-miR-192-5p,Barrett's carcinogenesis,DOWN,cancer vs normal,21128279,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-miR-326,Barrett's carcinogenesis,DOWN,cancer vs normal,21128279,esophageal cancer,D004938,DOID_5041,"Cancer, Digestive & Gastrointestinal Conditions",esophageal cancer,
hsa-miR-219a-5p, ,UP,metastasis,18176954,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-338-3p, ,UP,metastasis,18176954,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-30c-5p, ,DOWN,metastasis,18176954,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-148a-3p, ,DOWN,metastasis,18176954,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-224-5p,Perineural invasion (PNI),UP,poor outcome vs good outcome,18459106,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-10b-5p,Perineural invasion (PNI),UP,poor outcome vs good outcome,18459106,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-125b-5p,Perineural invasion (PNI),UP,poor outcome vs good outcome,18459106,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-30c-5p,Perineural invasion (PNI),UP,poor outcome vs good outcome,18459106,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-100-5p,Perineural invasion (PNI),UP,poor outcome vs good outcome,18459106,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-20a-5p,colon adenocarcinoma tumors/colon adenomas,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-21-5p,colon adenocarcinoma tumors/colon adenomas,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-106a-5p,colon adenocarcinoma tumors/colon adenomas,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-181a-3p,colon adenocarcinoma tumors/colon adenomas,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-203a-3p,colon adenocarcinoma tumors/colon adenomas,UP,cancer vs normal,18230780,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-342-3p,"PR-negative, PR-positive(Within the tumour)",UP,subtype1 vs subtype2,19432961,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-342-3p, ,UP,cancer vs normal,19432961,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-520g-3p, ,UP,cancer vs normal,19432961,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-520g-3p,"PR-negative, PR-positive(Within the tumour)",UP,subtype1 vs subtype2,19432961,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-99b-5p,multiple myeloma(TC4),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-582-5p,multiple myeloma(TC1 ),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-155-5p,multiple myeloma(TC5),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-30e-3p,multiple myeloma(TC1),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-125b-5p,multiple myeloma(TC5),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-133b,multiple myeloma(TC5),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-221-3p,multiple myeloma(TC5),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-222-3p,multiple myeloma(TC4),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-125a-5p,multiple myeloma(TC4),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-99a-5p,multiple myeloma(TC5),UP,subtype1 vs subtype2,19846888,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-193b-3p,"Malme-3M,  SKMEL-28,  and SKMEL-5",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-205-5p,"Malme-3M,  SKMEL-28,  and SKMEL-6",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-200c-3p,"Malme-3M,  SKMEL-28,  and SKMEL-7",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-768-3p,"Malme-3M,  SKMEL-28,  and SKMEL-8",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-211-5p,"Malme-3M,  SKMEL-28,  and SKMEL-9",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-203a-3p,"Malme-3M,  SKMEL-28,  and SKMEL-10",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-204-5p,"Malme-3M,  SKMEL-28,  and SKMEL-11",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-200b-3p,"Malme-3M,  SKMEL-28,  and SKMEL-12",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-125b-5p,"Malme-3M,  SKMEL-28,  and SKMEL-13",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-214-3p,"Malme-3M,  SKMEL-28,  and SKMEL-14",DOWN,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-21-5p,"Malme-3M,  SKMEL-28,  and SKMEL-15",UP,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-22-3p,"Malme-3M,  SKMEL-28,  and SKMEL-16",UP,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-106b-5p,"Malme-3M,  SKMEL-28,  and SKMEL-17",UP,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-17-5p,"Malme-3M,  SKMEL-28,  and SKMEL-18",UP,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-16-5p,"Malme-3M,  SKMEL-28,  and SKMEL-19",UP,metastatic ,20304954,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-31-5p, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-135b-5p, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-552-3p, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-592, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-503-5p, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-1-3p, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-622, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-10b-5p, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-147a, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-33b-5p, ,DOWN,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-143-3p, ,UP,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-21-5p, ,UP,cancer vs normal,19922656,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-miR-486-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-375,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-574-3p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-32-3p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-33b-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-195-3p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-500a-3p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-199b-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-195-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-10a-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-455-3p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-214-3p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-199a-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-497-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-139-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-30a-3p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-145-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-125b-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-99a-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-100-5p,adrenocortical tumors,DOWN,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-503-5p,adrenocortical tumors,UP,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-483-3p,adrenocortical tumors,UP,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-433-3p,adrenocortical tumors,UP,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-431-5p,adrenocortical tumors,UP,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-410-3p,adrenocortical tumors,UP,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-431-3p,adrenocortical tumors,UP,cancer vs normal,20484036,adrenocortical cancer,D000306,DOID_162,"Cancer, Endocrine and Metabolic Conditions",adrenocortical cancer,
hsa-miR-122-5p, ,UP,cancer vs normal,20739924,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-375,prostate cancer,UP,cancer vs normal,21400514,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-200c-3p,prostate cancer,UP,cancer vs normal,21400514,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-145-5p,prostate cancer,DOWN,cancer vs normal,21400514,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-143-3p,prostate cancer,DOWN,cancer vs normal,21400514,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-let-7d-5p,schwannomas,UP,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-451a,schwannomas,UP,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-23b-3p,schwannomas,UP,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-29a-3p,schwannomas,UP,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-30a-3p,schwannomas,UP,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-221-3p,schwannomas,UP,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-21-5p,schwannomas,UP,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-321,schwannomas,DOWN,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-7-5p,schwannomas,DOWN,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-373-5p,schwannomas,DOWN,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-638,schwannomas,DOWN,cancer vs normal,21156648,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7a-5p,Gastric lymphoma,DOWN,high-grade vs low-grade,21460242,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-34a-5p,Gastric lymphoma,DOWN,high-grade vs low-grade,21460242,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-193b-3p,"Malme-3M,  MeWo,  SK-MEL-2,  and SK-MEL-28",UP,cancer vs normal,21893020,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-17-5p,"subtype1: LP(low proliferative ),  subtype2: HP(highly proliferative )",UP,subtype1 vs subtype2,21364938,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-18a-5p,"subtype1: LP(low proliferative ),  subtype2: HP(highly proliferative )",DOWN,subtype1 vs subtype2,21364938,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-18b-5p,"subtype1: LP(low proliferative ),  subtype2: HP(highly proliferative )",DOWN,subtype1 vs subtype2,21364938,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-19a-3p,"subtype1: LP(low proliferative ),  subtype2: HP(highly proliferative )",DOWN,subtype1 vs subtype2,21364938,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-29c-3p,"subtype1: LP(low proliferative ),  subtype2: HP(highly proliferative )",,subtype1 vs subtype2,21364938,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-34c-5p,"subtype1: LP(low proliferative ),  subtype2: HP(highly proliferative )",UP,subtype1 vs subtype2,21364938,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-142-3p,"subtype1: LP(low proliferative ),  subtype2: HP(highly proliferative )",DOWN,subtype1 vs subtype2,21364938,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-150-5p,"subtype1: LP(low proliferative ),  subtype2: HP(highly proliferative )",DOWN,subtype1 vs subtype2,21364938,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-449a,"subtype1: LP(low proliferative ),  subtype2: HP(highly proliferative )",UP,subtype1 vs subtype2,21364938,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-miR-375,hepatoma cell lines,DOWN,cancer vs normal,22056881,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-221-3p,PHHC-3,UP,cancer vs normal,22056881,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-96-5p, ,UP,cancer vs normal,21298008,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,
hsa-miR-148a-3p, ,DOWN,cancer vs normal,21703006,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-miR-23a-3p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),DOWN,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-26a-5p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),DOWN,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-29b-3p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),DOWN,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-30d-5p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),DOWN,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-146a-5p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),DOWN,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-146b-5p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),DOWN,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-155-5p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),DOWN,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-221-3p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),DOWN,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-9-5p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),UP,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-23b-3p,Burkitt lymphoma(BL)/diffuse large B-cell lymphoma (DLBCL),,subtype1 vs subtype2,21701491,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-141-3p, ,UP,cancer vs normal,21811625,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-miR-205-5p, ,UP,cancer vs normal,21811625,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-miR-429, ,UP,cancer vs normal,21811625,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-miR-320a, ,DOWN,cancer vs normal,21811625,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-miR-383-5p, ,DOWN,cancer vs normal,21811625,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
hsa-miR-486-5p,"YCC3,  AGS,  and SCH",UP,cancer vs normal,21415212,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-miR-221-3p,Nodal marginal zone lymphoma(NMZL)/lymphoid hyperplasia(RLN),UP,subtype1 vs subtype2,22110251,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-223-3p,Nodal marginal zone lymphoma(NMZL)/lymphoid hyperplasia(RLN),UP,subtype1 vs subtype2,22110251,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-let-7f-5p,Nodal marginal zone lymphoma(NMZL)/lymphoid hyperplasia(RLN),UP,subtype1 vs subtype2,22110251,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-494-3p,Nodal marginal zone lymphoma(NMZL)/lymphoid hyperplasia(RLN),DOWN,subtype1 vs subtype2,22110251,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-210-3p,Pancreatic ductal adenocarcinoma,UP,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-135b-5p,Pancreatic ductal adenocarcinoma,UP,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-425-3p,Pancreatic ductal adenocarcinoma,UP,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-194-5p,Pancreatic ductal adenocarcinoma,UP,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-429,Pancreatic ductal adenocarcinoma,UP,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-199b-5p,Pancreatic ductal adenocarcinoma,DOWN,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-451a,Pancreatic ductal adenocarcinoma,DOWN,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-145-5p,Pancreatic ductal adenocarcinoma,DOWN,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-100-5p,Pancreatic ductal adenocarcinoma,DOWN,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-148a-3p,Pancreatic ductal adenocarcinoma,DOWN,cancer vs normal,21953293,pancreatic cancer,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",pancreatic cancer,
hsa-miR-211-5p, ,UP,cancer vs normal,21435193,melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,
hsa-miR-196a-5p, ,UP,cancer vs normal,22258453,gastrointestinal stromal tumor,D046152,DOID_9253,"Cancer, Digestive & Gastrointestinal Conditions",tumor,gastrointestinal stromal
hsa-miR-1238-3p, ,UP,cancer vs normal,21844009,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
